Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
1,1,A,A,Spatial,1,Pool,9/29/2023,60.0,17.252,0.288,0.044,5,26.7,7.469,5,18.9,4.974,2,8.4,2.814,2,6.0,1.995,0,
2,1,A,A,Spatial,2,Pool,9/29/2023,33.2,10.047,0.302,0.118,2,6.8,2.304,3,12.4,3.779,3,6.5,1.704,2,7.5,2.260,1,20.12
3,2,A,A,Spatial,1,Pool,9/29/2023,60.0,17.143,0.286,0.036,7,28.9,8.090,7,17.6,4.649,2,5.7,2.215,3,7.7,2.189,0,
4,2,A,A,Spatial,2,Pool,9/29/2023,13.8,4.155,0.300,0.204,1,4.3,1.439,1,5.7,1.454,1,1.5,0.379,1,2.4,0.882,1,7.93
5,3,A,A,Spatial,1,Pool,9/29/2023,20.0,6.779,0.339,0.154,2,9.3,3.125,1,3.2,1.071,1,0.9,0.224,2,6.5,2.359,1,14.69
6,3,A,A,Spatial,2,Pool,9/29/2023,6.6,2.151,0.326,0.443,1,1.2,0.365,1,1.1,0.457,1,4.3,1.329,0,0.0,0.000,1,1.21
7,4,A,A,Spatial,1,Pool,9/29/2023,44.1,11.651,0.264,0.073,4,21.1,5.061,6,17.9,5.010,3,3.7,1.210,1,1.3,0.369,1,33.70
8,4,A,A,Spatial,2,Pool,9/29/2023,6.6,1.883,0.286,0.620,1,4.3,1.224,0,0.0,0.000,1,0.7,0.137,1,1.6,0.522,1,2.12
9,5,A,A,Spatial,1,Pool,9/29/2023,14.6,3.856,0.264,0.284,1,8.4,2.065,0,0.0,0.000,1,1.2,0.347,1,5.0,1.443,1,11.03
10,5,A,A,Spatial,2,Pool,9/29/2023,12.6,3.684,0.292,0.346,1,7.8,2.391,1,0.5,0.209,1,4.3,1.084,0,0.0,0.000,1,5.62
11,6,A,A,Spatial,1,Pool,9/29/2023,7.2,2.176,0.303,0.548,1,1.7,0.485,1,2.3,0.946,1,3.2,0.745,0,0.0,0.000,1,2.31
12,6,A,A,Spatial,2,Pool,9/29/2023,3.7,1.105,0.297,0.686,0,0.0,0.000,0,0.0,0.000,1,2.4,0.721,1,1.3,0.384,1,0.66
13,7,A,A,Spatial,1,Pool,9/29/2023,29.6,8.116,0.275,0.115,2,12.3,3.354,3,9.9,2.834,2,4.4,1.031,1,2.9,0.897,1,18.02
14,7,A,A,Spatial,2,Pool,9/29/2023,21.8,5.740,0.263,0.102,0,0.0,0.000,0,0.0,0.000,3,9.6,2.385,3,12.2,3.355,1,8.36
15,8,A,A,Spatial,1,Pool,9/29/2023,40.5,9.437,0.233,0.130,4,16.8,4.192,2,5.9,0.894,1,3.2,0.656,3,14.7,3.695,1,27.15
16,8,A,A,Spatial,2,Pool,9/29/2023,10.2,2.264,0.222,0.553,1,3.6,0.679,1,3.2,0.922,1,3.3,0.664,0,0.0,0.000,1,2.98
17,9,A,A,Spatial,1,Pool,9/29/2023,15.4,4.549,0.295,0.257,3,10.5,2.980,2,2.9,0.955,1,1.5,0.459,1,0.5,0.155,1,10.95
18,9,A,A,Spatial,2,Pool,9/29/2023,18.8,5.920,0.315,0.211,2,5.2,1.711,2,1.3,0.466,3,8.3,2.376,2,4.0,1.367,1,6.99
19,10,A,A,Spatial,1,Pool,9/29/2023,60.0,14.379,0.240,0.111,6,27.4,6.147,2,10.7,2.103,1,3.2,0.657,5,18.8,5.472,0,
20,10,A,A,Spatial,2,Pool,9/29/2023,10.1,3.294,0.326,0.396,1,3.5,1.038,0,0.0,0.000,1,3.6,1.004,1,2.9,1.252,1,4.48
21,11,A,A,Spatial,1,Pool,9/29/2023,16.3,5.241,0.321,0.140,1,6.9,2.290,1,5.4,1.438,1,2.7,0.940,1,1.3,0.573,1,9.00
22,11,A,A,Spatial,2,Pool,9/29/2023,13.0,4.729,0.363,0.204,1,3.3,1.268,1,5.8,1.880,1,3.2,1.274,1,0.7,0.307,1,7.47
23,12,A,A,Spatial,1,Pool,9/29/2023,60.0,15.734,0.262,0.006,3,11.1,3.305,1,3.7,1.229,2,7.2,2.084,5,38.0,9.116,0,
24,12,A,A,Spatial,2,Pool,9/29/2023,60.0,14.514,0.242,0.091,3,15.1,3.750,4,13.0,3.473,4,22.8,4.702,4,9.2,2.588,0,
25,13,A,A,Spatial,1,Pool,9/29/2023,23.4,8.419,0.360,0.050,3,7.1,2.174,3,6.8,2.496,4,5.5,2.185,3,4.0,1.563,1,12.43
26,13,A,A,Spatial,2,Pool,9/29/2023,3.9,1.348,0.345,0.493,0,0.0,0.000,1,3.1,1.115,1,0.8,0.232,0,0.0,0.000,1,1.42
27,14,A,A,Spatial,1,Pool,9/29/2023,60.0,19.376,0.323,0.027,9,34.4,11.579,6,17.9,5.587,2,2.7,0.527,5,5.1,1.683,0,
28,14,A,A,Spatial,2,Pool,9/29/2023,60.0,18.766,0.313,0.072,7,20.1,6.676,7,25.5,7.101,3,5.8,2.205,4,8.6,2.784,0,
29,15,A,A,Spatial,1,Pool,9/29/2023,31.5,7.716,0.245,0.042,4,8.9,2.348,0,0.0,0.000,3,3.7,0.788,6,18.9,4.581,1,17.40
30,15,A,A,Spatial,2,Pool,9/29/2023,7.5,1.965,0.263,0.292,0,0.0,0.000,2,2.3,0.595,2,5.2,1.370,0,0.0,0.000,1,1.69
31,16,A,A,Spatial,1,Pool,9/29/2023,60.0,18.804,0.313,0.018,5,15.2,4.939,2,7.2,2.388,3,12.9,3.637,7,24.7,7.840,0,
32,16,A,A,Spatial,2,Pool,9/29/2023,7.5,2.539,0.337,0.210,1,0.7,0.140,1,0.3,0.124,2,5.1,1.783,1,1.5,0.492,1,1.82
33,17,A,A,Spatial,1,Pool,9/29/2023,55.7,16.002,0.287,0.046,7,23.6,6.655,8,28.7,8.361,2,3.1,0.852,1,0.4,0.134,1,42.39
34,17,A,A,Spatial,2,Pool,9/29/2023,12.4,3.836,0.308,0.153,0,0.0,0.000,1,2.3,0.523,2,9.9,3.261,1,0.3,0.052,1,3.22
35,1,A,A,Spatial,3,Pool,9/29/2023,16.6,6.776,0.407,0.083,1,2.8,1.269,2,3.7,1.456,3,7.4,2.743,1,2.7,1.307,1,10.45
36,1,A,A,Spatial,4,Pool,9/29/2023,44.1,11.327,0.257,0.053,1,2.3,0.825,3,19.2,3.804,5,17.8,5.330,2,4.8,1.369,1,23.76
37,2,A,A,Spatial,3,Pool,9/29/2023,2.4,0.967,0.397,0.904,0,0.0,0.000,0,0.0,0.000,1,0.8,0.306,1,1.6,0.661,1,0.17
38,2,A,A,Spatial,4,Pool,9/29/2023,2.0,0.603,0.298,0.917,0,0.0,0.000,0,0.0,0.000,1,2.0,0.603,0,0.0,0.000,1,0.04
39,3,A,A,Spatial,3,Pool,9/29/2023,4.0,1.490,0.371,0.729,0,0.0,0.000,0,0.0,0.000,1,1.3,0.448,1,2.7,1.043,1,0.88
40,3,A,A,Spatial,4,Pool,9/29/2023,7.9,2.105,0.268,0.474,0,0.0,0.000,1,3.3,0.993,1,4.5,1.113,0,0.0,0.000,1,2.06
41,4,A,A,Spatial,3,Pool,9/29/2023,6.7,2.027,0.301,0.279,0,0.0,0.000,1,1.1,0.276,2,4.7,1.565,1,1.0,0.186,1,0.99
42,4,A,A,Spatial,4,Pool,9/29/2023,3.7,1.162,0.312,0.924,0,0.0,0.000,1,2.4,0.828,1,1.3,0.334,0,0.0,0.000,1,0.05
43,5,A,A,Spatial,3,Pool,9/29/2023,2.8,0.896,0.317,0.869,0,0.0,0.000,1,1.7,0.559,1,1.1,0.337,0,0.0,0.000,1,0.24
44,5,A,A,Spatial,4,Pool,9/29/2023,11.6,4.318,0.373,0.248,1,1.6,0.692,1,3.3,1.357,1,5.2,1.704,1,1.4,0.564,1,4.65
