Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
1,1,A,A,Spatial,1,Pool,9/25/2023,60.0,16.578,0.276,0.006,2,7.1,2.607,2,8.0,2.720,5,22.2,5.367,5,22.7,5.884,0,
2,1,A,A,Spatial,2,Pool,9/25/2023,8.5,3.074,0.362,0.378,1,1.5,0.447,1,0.4,0.047,1,2.9,1.270,1,3.6,1.311,1,5.32
3,2,A,A,Spatial,1,Pool,9/25/2023,60.0,10.701,0.178,0.011,1,4.9,1.287,1,5.2,1.326,2,11.6,2.197,3,38.3,5.892,0,
4,2,A,A,Spatial,2,Pool,9/25/2023,60.0,13.077,0.218,0.067,2,8.4,2.597,3,7.6,1.663,3,23.0,4.252,3,21.1,4.564,0,
5,3,A,A,Spatial,1,Pool,9/25/2023,60.0,13.140,0.219,0.113,4,10.2,2.992,2,9.9,2.349,3,18.7,3.482,4,21.3,4.317,0,
6,3,A,A,Spatial,2,Pool,9/25/2023,40.9,11.582,0.283,0.081,4,13.6,3.830,4,10.9,3.189,3,10.5,2.522,3,5.9,2.041,1,22.83
7,4,A,A,Spatial,1,Pool,9/25/2023,60.0,11.555,0.193,0.106,1,5.1,1.307,2,4.3,1.414,4,24.0,4.845,3,26.7,3.989,0,
8,4,A,A,Spatial,2,Pool,9/25/2023,60.0,16.922,0.282,0.096,4,13.9,3.858,4,13.3,4.272,4,18.8,5.006,3,13.9,3.787,0,
9,5,A,A,Spatial,1,Pool,9/25/2023,60.0,15.016,0.250,0.018,2,9.7,2.680,4,16.3,3.823,4,20.9,5.299,3,13.1,3.215,0,
10,5,A,A,Spatial,2,Pool,9/25/2023,60.0,15.351,0.256,0.018,3,8.7,2.409,5,19.5,4.944,4,21.8,5.210,2,10.0,2.787,0,
