Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : time (s),Q1 : distance (m),Q2 : time (s),Q2 : distance (m),Q3 : time (s),Q3 : distance (m),Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
1,1,NSF,A,Spatial,1,Pool,32.5,8.358,0.257,0.144,17.7,5.008,4.1,1.202,0.0,0.000,10.6,2.149,1,14.02
2,1,NSF,A,Spatial,2,Pool,15.9,4.639,0.293,0.251,1.3,0.332,8.0,2.164,1.7,0.738,4.8,1.405,1,9.87
3,2,NSF,A,Spatial,1,Pool,60.0,16.260,0.271,0.035,30.9,7.773,5.5,1.941,3.7,1.302,20.0,5.245,0,
4,2,NSF,A,Spatial,2,Pool,23.8,6.331,0.266,0.166,9.1,1.728,12.2,4.113,2.6,0.491,0.0,0.000,1,12.15
5,3,NSF,A,Spatial,1,Pool,60.0,17.824,0.297,0.027,18.7,5.425,7.6,2.938,8.0,2.583,25.7,6.878,0,
6,3,NSF,A,Spatial,2,Pool,55.1,16.025,0.291,0.057,25.2,5.738,7.1,2.221,11.9,4.402,10.9,3.665,1,32.83
7,4,NSF,A,Spatial,1,Pool,60.0,18.350,0.306,0.087,13.8,4.350,16.4,5.102,22.3,5.988,7.5,2.909,0,
8,4,NSF,A,Spatial,2,Pool,60.0,14.883,0.248,0.110,23.9,6.136,9.6,2.785,5.5,0.639,21.0,5.322,0,
9,5,NSF,A,Spatial,1,Pool,60.0,18.992,0.317,0.046,15.7,4.403,24.3,6.948,8.8,2.682,11.2,4.960,0,
10,5,NSF,A,Spatial,2,Pool,60.0,14.187,0.236,0.108,15.8,4.597,29.0,5.770,8.4,1.580,6.8,2.240,0,
11,6,NSF,A,Spatial,1,Pool,2.9,0.668,0.227,0.872,2.3,0.541,0.7,0.127,0.0,0.000,0.0,0.000,1,0.43
12,6,NSF,A,Spatial,2,Pool,60.0,17.573,0.293,0.027,8.4,2.693,8.5,2.868,18.5,5.417,24.5,6.595,0,
13,7,NSF,A,Spatial,1,Pool,60.0,17.245,0.287,0.088,14.8,4.378,19.8,6.288,16.3,4.074,9.1,2.504,0,
14,7,NSF,A,Spatial,2,Pool,19.4,5.801,0.299,0.156,6.5,1.988,2.9,0.955,0.0,0.000,9.9,2.859,1,10.12
15,8,NSF,A,Spatial,1,Pool,60.0,16.994,0.283,0.054,5.1,1.396,29.4,7.706,19.3,5.468,6.3,2.424,0,
16,8,NSF,A,Spatial,2,Pool,60.0,13.050,0.218,0.059,9.9,2.448,15.4,3.305,26.3,5.890,8.5,1.407,0,
17,9,NSF,A,Spatial,1,Pool,3.0,0.590,0.194,0.472,2.5,0.527,0.0,0.000,0.0,0.000,0.5,0.063,1,0.59
18,9,NSF,A,Spatial,2,Pool,60.0,15.647,0.261,0.095,19.2,4.573,17.7,4.546,10.4,2.675,12.7,3.852,0,
19,10,NSF,A,Spatial,1,Pool,19.0,4.933,0.259,0.184,1.9,0.786,4.3,0.819,6.4,1.129,6.4,2.200,1,14.44
20,10,NSF,A,Spatial,2,Pool,21.5,7.272,0.339,0.166,4.5,1.769,4.1,1.341,9.1,2.633,3.7,1.529,1,15.75
21,11,NSF,A,Spatial,1,Pool,60.0,17.762,0.296,0.084,17.5,5.413,13.9,3.962,17.0,4.585,11.6,3.801,0,
22,11,NSF,A,Spatial,2,Pool,25.0,7.056,0.282,0.121,7.7,2.001,4.2,1.277,5.0,1.444,8.1,2.334,1,14.08
23,12,NSF,A,Spatial,1,Pool,60.0,14.132,0.236,0.012,7.5,2.529,31.2,6.285,16.6,3.464,4.7,1.854,0,
24,12,NSF,A,Spatial,2,Pool,60.0,13.189,0.220,0.061,12.9,2.529,14.0,3.522,29.5,5.889,3.6,1.250,0,
25,13,NSF,A,Spatial,1,Pool,55.3,12.898,0.233,0.051,18.9,4.086,1.2,0.463,17.6,3.976,17.6,4.373,1,37.72
26,13,NSF,A,Spatial,2,Pool,60.0,13.890,0.232,0.076,32.7,6.008,13.6,3.730,8.5,2.386,5.2,1.765,0,
27,14,NSF,A,Spatial,1,Pool,60.0,21.116,0.352,0.065,10.5,4.108,14.6,5.341,23.5,6.916,11.4,4.751,0,
28,14,NSF,A,Spatial,2,Pool,60.0,16.001,0.267,0.023,7.6,2.563,10.7,3.420,24.5,5.380,17.2,4.638,0,
29,15,NSF,A,Spatial,1,Pool,60.0,20.525,0.342,0.073,10.0,3.043,7.7,2.618,19.8,7.249,22.5,7.614,0,
30,15,NSF,A,Spatial,2,Pool,60.0,11.998,0.200,0.028,0.0,0.000,0.0,0.000,19.9,3.987,40.1,8.011,0,
31,16,NSF,A,Spatial,1,Pool,55.1,14.862,0.270,0.087,13.7,4.141,10.3,3.719,22.9,3.790,8.3,3.211,1,39.75
32,16,NSF,A,Spatial,2,Pool,57.5,17.787,0.309,0.047,17.1,5.460,4.4,1.533,16.8,3.737,19.2,7.056,1,41.26
33,17,NSF,A,Spatial,1,Pool,22.3,5.229,0.234,0.183,4.9,1.486,2.8,1.011,4.0,1.244,10.6,1.489,1,14.84
34,17,NSF,A,Spatial,2,Pool,60.0,17.546,0.292,0.059,14.4,4.189,21.2,5.572,16.3,5.106,8.1,2.679,0,
35,18,NSF,A,Spatial,1,Pool,60.0,16.642,0.277,0.073,19.9,5.438,11.9,3.602,7.2,2.276,21.1,5.326,0,
36,18,NSF,A,Spatial,2,Pool,60.0,13.042,0.217,0.098,18.1,4.285,20.1,4.740,9.6,1.311,12.3,2.706,0,
37,19,NSF,A,Spatial,1,Pool,33.1,8.710,0.263,0.058,19.9,4.331,6.0,1.606,3.2,1.339,4.0,1.435,1,17.26
38,19,NSF,A,Spatial,2,Pool,47.8,12.649,0.264,0.064,10.9,3.220,3.5,1.280,2.3,0.970,31.1,7.180,1,32.97
39,20,NSF,A,Spatial,1,Pool,19.4,5.984,0.308,0.096,5.4,1.728,2.3,1.123,4.5,1.257,7.2,1.876,1,12.95
40,20,NSF,A,Spatial,2,Pool,60.0,16.197,0.270,0.019,13.2,4.224,18.8,4.841,18.3,4.143,9.8,2.989,0,
41,21,NSF,A,Spatial,1,Pool,60.0,11.688,0.195,0.079,7.3,1.945,0.5,0.206,25.9,4.527,26.3,5.010,0,
42,21,NSF,A,Spatial,2,Pool,27.1,8.851,0.326,0.133,15.3,4.648,6.6,2.172,2.7,1.053,2.5,0.978,1,11.70
43,22,NSF,A,Spatial,1,Pool,60.0,16.134,0.269,0.058,5.3,1.421,5.7,2.095,32.0,7.991,16.9,4.626,0,
44,22,NSF,A,Spatial,2,Pool,6.5,1.950,0.298,0.420,1.1,0.275,0.0,0.000,0.0,0.000,5.5,1.675,1,2.88
45,23,NSF,A,Spatial,1,Pool,60.0,20.790,0.347,0.056,11.7,4.133,18.2,6.022,18.2,6.570,11.8,4.064,0,
46,23,NSF,A,Spatial,2,Pool,60.0,16.158,0.269,0.002,10.4,3.847,6.1,2.041,23.1,4.862,20.4,5.408,0,
47,24,NSF,A,Spatial,1,Pool,5.8,0.642,0.110,0.752,5.8,0.642,0.0,0.000,0.0,0.000,0.0,0.000,1,0.38
48,24,NSF,A,Spatial,2,Pool,60.0,17.650,0.294,0.094,15.2,5.262,10.1,2.548,8.7,2.567,26.0,7.274,0,
49,25,NSF,A,Spatial,1,Pool,60.0,15.048,0.251,0.039,14.1,3.080,4.7,1.734,7.6,2.360,33.6,7.874,0,
50,25,NSF,A,Spatial,2,Pool,20.8,5.101,0.245,0.219,16.4,3.467,2.3,0.856,0.0,0.000,2.1,0.777,1,5.58
51,26,NSF,A,Spatial,1,Pool,60.0,15.308,0.255,0.049,22.3,5.530,8.1,2.669,6.8,1.859,22.8,5.250,0,
