Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : time (s),Q1 : distance (m),Q2 : time (s),Q2 : distance (m),Q3 : time (s),Q3 : distance (m),Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
1,1,NSF,A,Spatial,1,Pool,60.0,18.328,0.305,0.075,22.0,5.900,23.1,6.341,8.7,3.411,6.3,2.675,0,,30.4,,
2,1,NSF,A,Spatial,2,Pool,60.0,18.655,0.311,0.024,34.9,10.469,15.2,4.781,4.7,1.517,5.2,1.888,0,,32.2,,
3,2,NSF,A,Spatial,1,Pool,36.2,10.779,0.297,0.056,15.9,5.013,13.4,3.897,4.9,0.945,2.0,0.923,1,36.2,19.2,0.052,27.95
4,2,NSF,A,Spatial,2,Pool,3.9,1.609,0.412,0.570,0.0,0.000,0.0,0.000,2.3,0.981,1.6,0.628,1,3.9,3.1,0.504,0.68
5,3,NSF,A,Spatial,1,Pool,18.6,5.692,0.306,0.154,2.0,0.464,2.0,0.645,2.6,0.956,12.0,3.627,1,18.6,10.1,0.143,7.04
6,3,NSF,A,Spatial,2,Pool,11.7,3.746,0.321,0.195,3.3,1.039,0.3,0.090,2.3,0.749,5.8,1.868,1,11.7,6.9,0.167,5.35
7,4,NSF,A,Spatial,1,Pool,60.0,17.217,0.287,0.050,42.9,11.815,8.4,2.140,4.8,1.827,3.9,1.435,0,,30.0,,
8,4,NSF,A,Spatial,2,Pool,60.0,15.498,0.258,0.016,38.5,7.917,6.3,2.102,4.7,1.856,10.5,3.622,0,,32.2,,
9,5,NSF,A,Spatial,1,Pool,39.2,11.246,0.287,0.076,19.2,5.419,1.1,0.242,1.7,0.585,17.2,5.000,1,39.2,21.2,0.075,27.66
10,5,NSF,A,Spatial,2,Pool,18.3,6.051,0.331,0.192,7.3,2.316,7.5,2.462,2.5,0.923,0.9,0.351,1,18.3,10.5,0.175,9.42
11,6,NSF,A,Spatial,1,Pool,60.0,18.455,0.308,0.014,5.9,2.069,46.5,13.818,4.4,1.368,3.2,1.199,0,,29.7,,
12,6,NSF,A,Spatial,2,Pool,13.3,5.076,0.383,0.153,8.0,3.303,0.0,0.000,0.7,0.170,4.6,1.604,1,13.3,7.9,0.151,8.86
13,7,NSF,A,Spatial,1,Pool,60.0,16.349,0.272,0.012,45.7,12.478,8.0,2.072,0.0,0.000,6.2,1.800,0,,31.1,,
14,7,NSF,A,Spatial,2,Pool,5.9,1.331,0.225,0.495,0.0,0.000,1.1,0.317,4.8,1.014,0.0,0.000,1,5.9,4.1,0.434,1.17
15,8,NSF,A,Spatial,1,Pool,60.0,18.259,0.304,0.020,32.6,9.753,14.9,4.328,6.7,2.236,5.8,1.942,0,,32.4,,
16,8,NSF,A,Spatial,2,Pool,4.4,1.463,0.331,0.272,0.0,0.000,0.0,0.000,4.4,1.463,0.0,0.000,1,4.4,2.5,0.234,0.93
17,9,NSF,A,Spatial,1,Pool,4.0,1.207,0.301,0.735,1.2,0.400,1.1,0.329,0.9,0.209,0.8,0.269,1,4.0,3.5,0.697,0.69
18,9,NSF,A,Spatial,2,Pool,15.9,5.721,0.359,0.195,1.3,0.507,2.3,0.995,6.5,2.284,5.9,1.935,1,15.9,10.1,0.169,7.01
19,10,NSF,A,Spatial,1,Pool,60.0,17.672,0.295,0.068,29.0,8.005,9.1,2.820,6.8,2.069,15.2,4.777,0,,31.2,,
20,10,NSF,A,Spatial,2,Pool,11.2,3.981,0.357,0.318,5.9,2.137,3.6,1.325,1.3,0.418,0.3,0.101,1,11.1,6.3,0.293,6.10
21,11,NSF,A,Spatial,1,Pool,60.0,18.471,0.308,0.056,38.5,11.463,7.9,2.298,2.7,1.034,10.9,3.676,0,,28.7,,
22,11,NSF,A,Spatial,2,Pool,5.1,1.438,0.281,0.223,0.0,0.000,0.0,0.000,4.2,1.177,0.9,0.261,1,5.1,3.1,0.206,1.58
23,12,NSF,A,Spatial,1,Pool,60.0,18.827,0.314,0.072,34.9,10.487,11.9,3.702,2.5,0.853,10.7,3.785,0,,27.1,,
24,12,NSF,A,Spatial,2,Pool,60.0,18.454,0.308,0.056,31.0,8.511,13.3,3.745,6.4,2.694,9.2,3.504,0,,30.5,,
25,13,NSF,A,Spatial,1,Pool,17.9,5.341,0.299,0.186,10.5,3.220,3.3,1.077,1.2,0.262,2.8,0.783,1,17.9,9.7,0.185,11.09
26,13,NSF,A,Spatial,2,Pool,12.3,4.040,0.328,0.172,2.4,0.675,0.0,0.000,1.3,0.457,8.6,2.909,1,12.3,7.4,0.168,7.11
27,14,NSF,A,Spatial,1,Pool,11.9,3.604,0.304,0.298,4.7,1.330,5.2,1.632,1.1,0.330,0.9,0.312,1,11.8,7.7,0.296,6.38
28,14,NSF,A,Spatial,2,Pool,21.3,7.222,0.339,0.074,1.1,0.408,5.5,2.339,9.9,3.195,4.9,1.281,1,21.3,11.4,0.074,9.78
29,15,NSF,A,Spatial,1,Pool,28.1,8.177,0.291,0.161,15.6,4.443,8.9,2.546,1.4,0.459,2.1,0.728,1,28.1,16.9,0.143,22.40
30,15,NSF,A,Spatial,2,Pool,3.5,1.037,0.296,0.779,0.0,0.000,1.6,0.450,1.9,0.587,0.0,0.000,1,3.5,2.7,0.748,0.43
31,16,NSF,A,Spatial,1,Pool,1.3,0.344,0.256,0.960,0.0,0.000,0.0,0.000,1.3,0.344,0.0,0.000,1,1.3,0.9,0.936,0.04
32,16,NSF,A,Spatial,2,Pool,57.6,19.029,0.330,0.066,31.1,9.719,12.9,4.641,9.1,3.038,4.5,1.631,1,57.6,30.4,0.060,42.84
