Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
1,1,A,A,Spatial,1,Pool,60.0,14.870,0.248,0.089,3,18.1,4.283,3,16.9,3.984,3,12.9,2.882,3,12.1,3.721,0,,29.8,,
2,1,A,A,Spatial,2,Pool,60.0,13.549,0.226,0.063,4,14.6,3.557,4,18.3,4.370,3,18.9,3.480,3,8.2,2.142,0,,28.8,,
3,2,A,A,Spatial,1,Pool,24.7,5.187,0.210,0.156,1,4.1,0.849,1,1.7,0.697,1,4.9,1.317,1,13.9,2.325,1,24.6,12.4,0.144,18.29
4,2,A,A,Spatial,2,Pool,60.0,12.942,0.216,0.098,2,9.1,2.401,5,24.0,5.725,4,22.3,3.381,1,4.7,1.435,0,,33.5,,
5,3,A,A,Spatial,1,Pool,16.5,1.912,0.116,0.352,3,15.9,1.912,0,0.0,0.000,0,0.0,0.000,2,0.6,0.000,1,16.5,9.2,0.274,5.58
6,3,A,A,Spatial,2,Pool,60.0,13.661,0.228,0.114,3,17.3,3.592,3,11.0,2.859,3,18.5,3.921,4,13.1,3.288,0,,32.1,,
7,4,A,A,Spatial,1,Pool,60.0,11.456,0.191,0.039,1,0.9,0.352,2,9.7,2.304,5,15.2,3.724,5,34.2,5.076,0,,32.5,,
8,4,A,A,Spatial,2,Pool,60.0,12.559,0.209,0.047,2,5.2,1.640,4,7.9,2.447,5,20.5,3.760,4,26.4,4.712,0,,31.0,,
9,5,A,A,Spatial,1,Pool,10.0,2.345,0.234,0.355,1,3.0,0.788,1,7.0,1.557,0,0.0,0.000,0,0.0,0.000,1,10.0,7.3,0.317,4.20
10,5,A,A,Spatial,2,Pool,60.0,15.295,0.255,0.024,1,4.1,1.354,4,13.7,3.851,5,33.2,7.961,2,8.9,2.130,0,,31.9,,
11,6,A,A,Spatial,1,Pool,60.0,14.537,0.242,0.074,3,23.8,4.790,3,14.5,3.739,3,10.8,3.216,2,10.8,2.792,0,,28.7,,
12,6,A,A,Spatial,2,Pool,11.9,3.218,0.270,0.184,1,4.3,1.025,0,0.0,0.000,0,0.0,0.000,1,7.7,2.193,1,11.9,8.6,0.135,6.63
13,7,A,A,Spatial,1,Pool,33.3,9.118,0.273,0.134,2,5.2,1.405,3,7.9,2.089,3,18.1,4.812,1,2.1,0.813,1,33.3,19.8,0.131,24.50
14,7,A,A,Spatial,2,Pool,60.0,15.117,0.252,0.056,4,13.6,3.629,3,14.3,3.698,3,17.3,4.011,4,14.8,3.779,0,,31.1,,
15,8,A,A,Spatial,1,Pool,60.0,12.363,0.206,0.032,2,15.9,2.977,4,20.8,3.771,3,14.1,2.821,2,9.2,2.793,0,,31.6,,
16,8,A,A,Spatial,2,Pool,60.0,13.444,0.224,0.031,4,12.4,3.237,6,21.4,5.147,5,13.4,2.002,3,12.8,3.059,0,,28.2,,
17,1,A,A,Spatial,3,Pool,60.0,15.460,0.258,0.087,3,10.1,2.716,2,9.9,2.610,3,25.5,5.738,4,14.5,4.396,0,,31.4,,
18,1,A,A,Spatial,4,Pool,60.0,15.036,0.251,0.047,4,12.3,3.200,2,4.1,1.198,3,8.4,1.698,4,35.1,8.939,0,,29.3,,
19,2,A,A,Spatial,3,Pool,60.0,15.042,0.251,0.063,4,9.5,2.225,1,3.5,1.285,6,22.3,5.649,9,24.8,5.884,0,,31.0,,
20,2,A,A,Spatial,4,Pool,60.0,13.275,0.221,0.011,1,3.2,0.992,2,5.6,1.822,4,35.5,6.681,2,15.7,3.781,0,,28.8,,
21,3,A,A,Spatial,3,Pool,60.0,12.860,0.214,0.126,3,8.9,1.764,2,6.8,1.886,4,15.3,3.384,5,28.9,5.825,0,,31.7,,
22,3,A,A,Spatial,4,Pool,60.0,12.963,0.216,0.075,3,14.0,3.267,4,21.4,4.800,3,11.2,2.739,2,13.5,2.157,0,,30.3,,
23,4,A,A,Spatial,3,Pool,9.0,2.238,0.249,0.459,1,1.3,0.279,1,1.9,0.179,2,4.9,1.449,1,0.8,0.332,1,9.0,4.8,0.457,5.44
24,4,A,A,Spatial,4,Pool,60.0,11.838,0.197,0.129,1,4.4,1.360,3,10.9,1.813,4,30.5,5.840,3,14.1,2.824,0,,34.2,,
25,5,A,A,Spatial,3,Pool,60.0,17.144,0.286,0.073,4,15.2,4.122,4,14.2,4.009,4,15.5,4.499,4,15.1,4.515,0,,28.4,,
26,5,A,A,Spatial,4,Pool,51.3,13.146,0.256,0.021,4,10.5,2.801,4,13.7,3.743,3,12.0,2.810,3,15.1,3.791,1,51.3,24.7,0.009,35.93
27,6,A,A,Spatial,3,Pool,13.5,3.150,0.234,0.276,1,1.5,0.372,2,10.0,2.155,1,2.0,0.623,0,0.0,0.000,1,13.5,7.6,0.231,7.89
28,6,A,A,Spatial,4,Pool,60.0,16.344,0.272,0.097,3,8.3,2.548,4,8.3,2.354,5,34.5,9.118,3,8.9,2.324,0,,32.8,,
29,7,A,A,Spatial,3,Pool,60.0,15.640,0.261,0.021,5,12.7,3.318,5,23.6,5.734,3,15.1,3.934,2,8.6,2.654,0,,31.0,,
30,7,A,A,Spatial,4,Pool,35.0,8.634,0.247,0.085,3,7.6,1.780,4,15.8,4.067,2,10.0,2.254,1,1.6,0.533,1,35.0,19.7,0.083,23.52
31,8,A,A,Spatial,3,Pool,60.0,16.539,0.276,0.057,4,18.8,4.639,3,15.4,4.004,3,10.4,2.838,4,15.4,5.058,0,,30.2,,
32,8,A,A,Spatial,4,Pool,36.7,7.235,0.197,0.177,1,1.5,0.272,0,0.0,0.000,2,28.0,5.634,2,7.2,1.329,1,36.7,21.5,0.168,32.78
33,1,A,A,Spatial,5,Pool,60.0,15.108,0.252,0.104,3,10.4,2.902,4,28.7,6.215,4,13.7,3.528,2,7.2,2.463,0,,33.4,,
34,1,A,A,Spatial,6,Pool,60.0,12.199,0.203,0.061,3,18.5,3.019,3,16.3,3.656,3,15.0,2.805,3,10.2,2.719,0,,32.8,,
35,2,A,A,Spatial,5,Pool,60.0,13.932,0.232,0.059,3,13.9,3.720,3,17.8,2.641,3,13.5,3.418,3,14.9,4.153,0,,31.1,,
36,2,A,A,Spatial,6,Pool,60.0,10.457,0.174,0.103,0,0.0,0.000,0,0.0,0.000,3,34.2,5.297,3,25.8,5.160,0,,30.3,,
37,3,A,A,Spatial,5,Pool,60.0,13.641,0.227,0.019,2,12.9,2.764,3,13.3,3.152,3,22.5,5.098,2,11.3,2.627,0,,32.1,,
38,3,A,A,Spatial,6,Pool,15.9,3.835,0.241,0.110,2,10.6,2.266,1,2.3,0.592,1,0.8,0.247,1,2.3,0.731,1,15.9,8.6,0.103,4.36
39,4,A,A,Spatial,5,Pool,60.0,11.743,0.196,0.120,1,3.7,1.319,2,10.4,2.424,4,29.8,4.794,3,16.1,3.205,0,,29.5,,
40,4,A,A,Spatial,6,Pool,2.2,0.481,0.222,0.990,1,2.1,0.481,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,2.1,1.6,0.989,0.06
41,5,A,A,Spatial,5,Pool,60.0,15.693,0.262,0.021,4,16.7,4.331,3,10.0,2.680,4,21.6,5.015,4,11.7,3.667,0,,29.4,,
42,5,A,A,Spatial,6,Pool,8.3,1.991,0.240,0.482,1,4.9,0.999,0,0.0,0.000,0,0.0,0.000,1,3.4,0.993,1,8.3,6.1,0.461,2.08
43,6,A,A,Spatial,5,Pool,4.0,0.989,0.248,0.594,1,4.0,0.989,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,4.0,3.3,0.479,0.68
44,6,A,A,Spatial,6,Pool,60.0,19.412,0.324,0.065,4,15.9,5.232,4,14.1,4.809,4,17.8,5.373,4,12.2,3.998,0,,29.3,,
45,7,A,A,Spatial,5,Pool,46.4,9.449,0.204,0.124,2,15.9,2.980,3,13.3,2.645,3,12.0,2.455,1,5.2,1.369,1,46.4,27.5,0.122,29.16
46,7,A,A,Spatial,6,Pool,33.1,8.805,0.266,0.108,2,5.2,1.358,2,11.2,2.781,3,10.9,3.150,3,5.7,1.517,1,33.0,19.0,0.106,20.01
47,8,A,A,Spatial,5,Pool,42.3,10.931,0.259,0.049,5,20.9,4.807,4,13.6,3.461,1,4.2,1.352,1,3.6,1.311,1,42.3,23.2,0.037,23.44
