Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
1,1,A,A,Spatial,1,Pool,11/6/2023,12.2,3.336,0.272,0.232,1,7.7,2.013,2,3.4,1.072,1,1.1,0.251,0,0.0,0.000,1,8.14
2,1,A,A,Spatial,2,Pool,11/6/2023,59.8,17.188,0.287,0.074,5,20.3,6.311,4,12.7,2.738,4,12.7,3.798,4,14.1,4.341,1,41.63
3,2,A,A,Spatial,1,Pool,11/6/2023,34.8,9.226,0.265,0.079,2,9.6,1.606,3,17.6,4.752,2,4.1,1.513,1,3.5,1.355,1,26.28
4,2,A,A,Spatial,2,Pool,11/6/2023,20.3,5.810,0.286,0.195,2,6.9,2.014,1,4.7,1.334,2,3.6,0.764,2,5.1,1.697,1,12.29
5,3,A,A,Spatial,1,Pool,11/6/2023,7.9,1.939,0.245,0.624,1,5.4,1.264,1,0.9,0.350,1,1.6,0.324,0,0.0,0.000,1,3.35
6,3,A,A,Spatial,2,Pool,11/6/2023,5.7,1.531,0.268,0.709,2,2.9,0.644,1,1.6,0.490,1,0.8,0.251,1,0.4,0.147,1,1.53
7,4,A,A,Spatial,1,Pool,11/6/2023,11.5,3.410,0.297,0.261,1,3.1,0.857,2,6.3,1.960,1,2.1,0.593,0,0.0,0.000,1,4.41
8,4,A,A,Spatial,2,Pool,11/6/2023,10.7,3.333,0.312,0.359,1,6.3,1.969,0,0.0,0.000,1,2.8,0.698,1,1.6,0.666,1,5.49
9,5,A,A,Spatial,1,Pool,11/6/2023,4.1,1.220,0.301,0.878,0,0.0,0.000,1,3.0,0.969,1,1.1,0.251,0,0.0,0.000,1,0.51
10,5,A,A,Spatial,2,Pool,11/6/2023,27.8,9.023,0.325,0.122,3,10.0,3.298,3,6.0,2.071,2,5.9,1.814,2,5.9,1.840,1,15.40
11,6,A,A,Spatial,1,Pool,11/6/2023,60.0,13.199,0.220,0.017,4,16.8,4.132,2,16.8,2.966,2,11.9,1.951,3,14.5,4.151,0,
12,6,A,A,Spatial,2,Pool,11/6/2023,60.0,14.427,0.240,0.107,6,19.7,4.799,6,19.8,4.339,3,7.5,1.865,5,13.0,3.424,0,
13,7,A,A,Spatial,1,Pool,11/6/2023,60.0,11.584,0.193,0.015,3,35.6,6.173,1,4.0,1.238,1,4.0,1.255,3,16.4,2.919,0,
14,7,A,A,Spatial,2,Pool,11/6/2023,60.0,12.337,0.206,0.064,3,27.1,3.987,2,10.4,2.793,2,8.7,2.602,2,13.9,2.954,0,
15,8,A,A,Spatial,1,Pool,11/6/2023,60.0,12.562,0.209,0.083,5,39.1,8.141,2,6.1,1.504,0,0.0,0.000,2,14.8,2.917,0,
16,8,A,A,Spatial,2,Pool,11/6/2023,59.4,12.706,0.214,0.099,4,11.9,3.141,4,16.6,3.870,3,16.0,3.410,2,14.8,2.285,1,39.68
17,9,A,A,Spatial,1,Pool,11/6/2023,23.3,6.734,0.289,0.156,3,17.6,4.988,1,1.1,0.455,1,0.7,0.202,3,3.9,1.089,1,19.04
18,9,A,A,Spatial,2,Pool,11/6/2023,9.4,3.567,0.379,0.301,0,0.0,0.000,1,2.2,0.869,2,3.5,1.340,1,3.7,1.358,1,3.13
19,10,A,A,Spatial,1,Pool,11/6/2023,60.0,15.876,0.265,0.092,2,9.6,2.602,2,7.1,1.986,4,23.0,6.154,4,20.4,5.135,0,
20,10,A,A,Spatial,2,Pool,11/6/2023,23.8,5.551,0.233,0.199,3,13.7,2.991,2,6.1,1.388,1,1.1,0.311,2,2.9,0.860,1,18.96
21,1,A,A,Spatial,3,Pool,11/6/2023,3.3,0.986,0.303,0.925,0,0.0,0.000,0,0.0,0.000,1,1.0,0.273,1,2.3,0.713,1,0.29
22,1,A,A,Spatial,4,Pool,11/6/2023,13.4,4.114,0.308,0.246,1,1.7,0.574,2,4.4,1.368,2,5.8,1.657,1,1.5,0.516,1,4.04
23,2,A,A,Spatial,3,Pool,11/6/2023,27.6,9.263,0.336,0.123,3,4.3,1.534,3,5.5,1.930,3,9.9,3.034,3,8.0,2.765,1,12.40
24,2,A,A,Spatial,4,Pool,11/6/2023,4.2,1.521,0.361,0.733,0,0.0,0.000,1,2.5,0.980,1,1.7,0.541,0,0.0,0.000,1,0.85
25,3,A,A,Spatial,3,Pool,11/6/2023,3.6,1.177,0.327,0.940,0,0.0,0.000,0,0.0,0.000,1,0.5,0.159,1,3.0,1.017,1,0.31
26,3,A,A,Spatial,4,Pool,11/6/2023,18.9,6.469,0.343,0.172,2,5.3,1.626,3,4.2,1.501,2,6.3,2.119,1,3.1,1.222,1,9.31
27,4,A,A,Spatial,3,Pool,11/6/2023,16.3,4.493,0.276,0.134,1,0.4,0.149,1,2.7,0.823,3,8.4,1.916,2,4.8,1.606,1,5.27
28,4,A,A,Spatial,4,Pool,11/6/2023,9.5,3.019,0.319,0.379,2,6.7,2.108,1,1.3,0.407,1,0.7,0.176,1,0.8,0.328,1,5.56
29,5,A,A,Spatial,3,Pool,11/6/2023,39.5,12.867,0.326,0.075,3,9.6,3.065,4,11.1,3.472,4,8.3,2.782,3,10.5,3.548,1,23.18
30,5,A,A,Spatial,4,Pool,11/6/2023,60.0,15.008,0.250,0.092,5,15.8,4.042,2,10.8,2.564,3,13.3,3.273,5,20.1,5.130,0,
31,6,A,A,Spatial,3,Pool,11/6/2023,6.9,2.369,0.343,0.510,1,2.5,0.896,0,0.0,0.000,1,1.2,0.281,1,3.2,1.193,1,3.47
32,6,A,A,Spatial,4,Pool,11/6/2023,3.8,1.025,0.272,0.820,0,0.0,0.000,0,0.0,0.000,1,1.0,0.329,1,2.8,0.696,1,0.69
33,7,A,A,Spatial,3,Pool,11/6/2023,60.0,13.220,0.220,0.126,4,17.6,3.603,2,10.9,2.520,3,6.2,1.843,4,25.3,5.255,0,
34,7,A,A,Spatial,4,Pool,11/6/2023,8.9,2.112,0.236,0.381,0,0.0,0.000,0,0.0,0.000,1,0.9,0.187,1,8.0,1.925,1,3.36
