Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
1,1,A,A,Spatial,1,Pool,11/2/2023,60.0,13.603,0.227,0.050,3,9.5,2.607,3,11.3,3.339,4,14.7,3.257,4,24.5,4.400,0,47.31
2,1,A,A,Spatial,2,Pool,11/2/2023,60.0,14.230,0.237,0.045,2,6.7,1.235,3,9.2,2.421,5,23.2,5.745,4,20.9,4.829,0,50.82
3,2,A,A,Spatial,1,Pool,11/2/2023,19.5,2.375,0.122,0.407,1,2.7,0.672,0,0.0,0.000,0,0.0,0.000,1,16.8,1.703,1,11.44
4,2,A,A,Spatial,2,Pool,11/2/2023,60.0,13.977,0.233,0.017,3,8.5,2.509,6,22.3,4.713,4,22.8,5.458,2,6.4,1.296,0,45.77
5,3,A,A,Spatial,1,Pool,11/2/2023,60.0,10.851,0.181,0.054,5,13.5,2.282,2,14.9,2.751,2,14.5,2.594,4,17.1,3.224,0,48.77
6,3,A,A,Spatial,2,Pool,11/2/2023,60.0,13.689,0.228,0.121,3,9.9,2.658,6,19.2,4.207,4,21.1,4.383,2,9.9,2.440,0,46.92
7,4,A,A,Spatial,1,Pool,11/2/2023,60.0,13.115,0.219,0.063,2,10.4,2.790,2,6.6,2.213,5,20.1,3.814,5,22.9,4.299,0,51.53
8,4,A,A,Spatial,2,Pool,11/2/2023,60.0,16.720,0.279,0.032,3,7.1,2.299,4,14.3,4.724,4,29.4,7.279,3,9.2,2.417,0,51.84
9,5,A,A,Spatial,1,Pool,11/2/2023,60.0,10.659,0.178,0.146,0,0.0,0.000,1,5.0,0.643,2,35.8,6.016,2,19.2,4.000,0,60.65
10,5,A,A,Spatial,2,Pool,11/2/2023,60.0,16.903,0.282,0.026,4,10.4,3.529,5,15.6,4.510,4,17.6,4.075,4,16.4,4.789,0,46.12
11,6,A,A,Spatial,1,Pool,11/2/2023,8.0,0.977,0.122,0.389,2,7.5,0.860,1,0.5,0.117,0,0.0,0.000,0,0.0,0.000,1,1.41
12,6,A,A,Spatial,2,Pool,11/2/2023,60.0,14.960,0.249,0.061,4,15.5,3.846,2,7.6,1.968,3,11.4,2.978,5,25.5,6.168,0,42.25
13,7,A,A,Spatial,1,Pool,11/2/2023,40.7,9.007,0.221,0.114,2,5.9,1.575,2,4.8,1.623,3,18.6,3.218,2,11.5,2.590,1,32.74
14,7,A,A,Spatial,2,Pool,11/2/2023,48.1,11.695,0.243,0.093,3,10.5,2.679,2,12.5,3.183,2,12.3,2.591,3,12.8,3.241,1,35.74
15,8,A,A,Spatial,1,Pool,11/2/2023,60.0,12.347,0.206,0.113,3,10.2,2.935,2,17.5,2.657,2,4.8,1.294,3,27.4,5.461,0,46.73
16,8,A,A,Spatial,2,Pool,11/2/2023,60.0,16.992,0.283,0.066,5,18.8,4.759,5,19.4,5.466,3,11.0,3.407,3,10.8,3.361,0,40.70
17,9,A,A,Spatial,1,Pool,11/2/2023,60.0,14.404,0.240,0.039,2,5.7,2.279,2,4.4,1.779,4,19.7,4.579,4,30.2,5.767,0,54.83
18,9,A,A,Spatial,2,Pool,11/2/2023,60.0,14.561,0.243,0.101,3,13.3,3.193,4,16.7,4.168,4,20.9,4.700,2,9.1,2.501,0,46.88
19,10,A,A,Spatial,1,Pool,11/2/2023,60.0,16.339,0.272,0.085,4,13.3,3.961,4,21.1,5.050,2,13.1,3.582,2,12.5,3.746,0,46.39
20,10,A,A,Spatial,2,Pool,11/2/2023,60.0,17.860,0.298,0.057,3,15.6,4.504,4,14.7,3.915,4,11.4,4.055,3,18.3,5.386,0,43.66
21,1,A,A,Spatial,3,Pool,11/2/2023,60.0,17.466,0.291,0.018,4,12.3,3.816,4,13.2,3.983,3,17.7,4.292,4,16.8,5.375,0,46.87
22,1,A,A,Spatial,4,Pool,11/2/2023,42.6,10.322,0.242,0.095,2,15.4,2.636,1,3.6,1.282,2,7.1,1.904,3,16.4,4.499,1,29.43
23,2,A,A,Spatial,3,Pool,11/2/2023,47.5,11.373,0.240,0.050,5,18.5,4.362,3,2.2,0.888,2,12.6,2.234,3,14.1,3.889,1,31.66
24,2,A,A,Spatial,4,Pool,11/2/2023,60.0,15.288,0.255,0.053,4,14.7,4.332,3,23.5,4.125,2,9.1,2.628,3,12.7,4.203,0,39.08
25,3,A,A,Spatial,3,Pool,11/2/2023,60.0,14.242,0.237,0.068,2,9.5,2.539,3,16.5,4.166,3,18.7,4.289,2,15.3,3.248,0,43.88
26,3,A,A,Spatial,4,Pool,11/2/2023,60.0,11.754,0.196,0.085,1,3.4,1.145,2,30.2,4.281,3,17.9,4.544,2,8.5,1.784,0,47.30
27,4,A,A,Spatial,3,Pool,11/2/2023,60.0,12.977,0.216,0.051,1,3.3,1.288,3,9.1,1.864,4,40.1,7.678,2,7.5,2.147,0,57.40
28,4,A,A,Spatial,4,Pool,11/2/2023,60.0,15.572,0.260,0.024,3,8.6,2.872,5,20.3,3.883,4,23.9,6.215,3,7.2,2.602,0,47.99
29,5,A,A,Spatial,3,Pool,11/2/2023,60.0,15.778,0.263,0.088,3,9.9,3.262,2,8.0,2.497,5,24.8,4.962,5,17.3,5.058,0,51.01
30,5,A,A,Spatial,4,Pool,11/2/2023,60.0,16.240,0.271,0.026,5,21.7,5.912,4,15.8,4.215,2,10.1,2.637,3,12.3,3.476,0,38.21
31,6,A,A,Spatial,3,Pool,11/2/2023,8.1,1.572,0.193,0.435,1,1.3,0.415,1,6.8,1.157,0,0.0,0.000,0,0.0,0.000,1,2.64
32,6,A,A,Spatial,4,Pool,11/2/2023,8.2,2.551,0.312,0.395,1,0.8,0.276,0,0.0,0.000,1,1.8,0.499,1,5.6,1.776,1,4.91
33,7,A,A,Spatial,3,Pool,11/2/2023,7.3,1.431,0.195,0.204,2,4.7,1.025,1,2.7,0.405,0,0.0,0.000,0,0.0,0.000,1,2.28
34,7,A,A,Spatial,4,Pool,11/2/2023,1.9,0.545,0.287,0.967,1,0.9,0.253,1,0.9,0.292,0,0.0,0.000,0,0.0,0.000,1,0.00
35,8,A,A,Spatial,3,Pool,11/2/2023,60.0,14.325,0.239,0.096,2,6.5,2.088,1,3.2,1.035,4,26.0,5.602,5,24.3,5.600,0,49.69
36,8,A,A,Spatial,4,Pool,11/2/2023,60.0,9.502,0.158,0.039,3,15.5,2.910,2,5.9,1.834,2,22.4,3.412,2,16.3,1.346,0,44.18
37,9,A,A,Spatial,3,Pool,11/2/2023,60.0,15.808,0.263,0.047,3,6.1,1.763,4,23.1,5.450,4,17.4,4.351,3,13.5,4.243,0,48.20
38,9,A,A,Spatial,4,Pool,11/2/2023,15.8,4.195,0.266,0.214,2,10.8,2.902,0,0.0,0.000,0,0.0,0.000,2,4.9,1.293,1,4.43
39,10,A,A,Spatial,3,Pool,11/2/2023,12.5,3.589,0.288,0.345,1,2.4,0.565,1,8.2,2.492,1,1.8,0.532,0,0.0,0.000,1,7.00
40,10,A,A,Spatial,4,Pool,11/2/2023,60.0,18.969,0.316,0.046,4,16.2,4.975,4,12.7,3.969,4,12.8,4.584,4,18.3,5.440,0,42.80
41,1,A,A,Spatial,5,Pool,11/2/2023,60.0,14.667,0.244,0.031,2,8.5,2.492,1,4.4,1.249,4,32.9,6.928,4,14.1,3.999,0,50.63
42,1,A,A,Spatial,6,Pool,11/2/2023,60.0,14.418,0.240,0.044,3,9.2,2.504,4,16.8,3.754,4,20.8,4.795,3,13.2,3.364,0,43.27
43,2,A,A,Spatial,5,Pool,11/2/2023,35.6,9.648,0.271,0.064,2,6.3,1.773,1,9.9,2.410,2,4.5,1.549,3,14.9,3.917,1,22.60
44,2,A,A,Spatial,6,Pool,11/2/2023,6.3,1.707,0.271,0.739,1,2.0,0.506,0,0.0,0.000,1,1.2,0.110,1,3.1,1.091,1,1.50
45,3,A,A,Spatial,5,Pool,11/2/2023,60.0,13.661,0.228,0.081,1,16.0,2.494,4,18.7,4.260,6,22.7,6.292,4,2.6,0.616,0,42.98
46,3,A,A,Spatial,6,Pool,11/2/2023,60.0,12.897,0.215,0.086,2,12.7,2.923,4,21.8,4.462,4,21.0,4.134,2,4.5,1.377,0,46.95
47,4,A,A,Spatial,5,Pool,11/2/2023,60.0,12.972,0.216,0.045,3,5.4,1.949,2,6.7,2.181,3,35.2,5.568,5,12.7,3.274,0,53.16
48,4,A,A,Spatial,6,Pool,11/2/2023,5.9,1.447,0.247,0.400,2,4.4,1.062,0,0.0,0.000,0,0.0,0.000,1,1.5,0.386,1,0.91
49,5,A,A,Spatial,5,Pool,11/2/2023,60.0,17.572,0.293,0.036,3,12.8,4.087,5,18.3,5.189,5,21.1,5.616,2,7.7,2.681,0,45.95
50,5,A,A,Spatial,6,Pool,11/2/2023,24.9,7.605,0.305,0.124,2,5.9,1.674,2,4.8,1.441,2,8.5,2.553,2,5.7,1.937,1,17.86
51,6,A,A,Spatial,5,Pool,11/2/2023,60.0,16.370,0.273,0.085,4,13.0,3.617,4,9.6,3.427,5,12.4,3.064,5,25.1,6.263,0,43.18
