Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),First zone entered,Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
1,1,A,A,Spatial,1,Pool,60.0,12.658,Q2,0.211,0.093,4,15.0,4.153,3,19.8,3.569,3,14.4,2.051,4,10.8,2.884,0,,28.6,,42.86
2,1,A,A,Spatial,2,Pool,47.0,9.071,Q1,0.193,0.122,3,16.6,2.737,3,5.3,1.873,3,20.0,3.091,2,5.1,1.369,1,47.0,28.0,0.117,26.46
3,2,A,A,Spatial,1,Pool,21.8,5.947,Q3,0.272,0.096,1,3.3,1.179,1,4.4,1.273,2,10.5,2.303,1,3.6,1.192,1,21.8,12.8,0.089,12.96
4,2,A,A,Spatial,2,Pool,4.1,1.148,Q2,0.280,0.810,0,0.0,0.000,1,3.2,0.836,1,0.9,0.312,0,0.0,0.000,1,4.1,3.4,0.804,0.91
5,3,A,A,Spatial,1,Pool,42.7,10.503,Q1,0.246,0.094,6,27.9,6.482,3,6.8,1.512,1,1.2,0.314,4,6.8,2.194,1,42.7,24.4,0.086,34.33
6,3,A,A,Spatial,2,Pool,3.3,1.245,Q1,0.375,0.928,1,2.3,0.868,0,0.0,0.000,1,0.8,0.251,1,0.3,0.126,1,3.3,2.9,0.917,0.25
7,4,A,A,Spatial,1,Pool,60.0,12.924,Q2,0.215,0.070,4,39.0,7.351,4,12.4,3.376,2,7.3,1.812,2,1.3,0.385,0,,28.0,,52.25
8,4,A,A,Spatial,2,Pool,5.0,1.626,Q4,0.325,0.698,0,0.0,0.000,0,0.0,0.000,1,0.9,0.296,1,4.0,1.330,1,5.0,4.0,0.662,1.45
9,5,A,A,Spatial,1,Pool,60.0,16.358,Q1,0.273,0.048,6,36.0,9.400,4,8.7,2.485,4,5.7,1.579,6,9.6,2.893,0,,30.6,,44.10
10,5,A,A,Spatial,2,Pool,4.1,1.407,Q4,0.340,0.583,0,0.0,0.000,0,0.0,0.000,1,2.9,1.006,1,1.2,0.401,1,4.1,2.9,0.464,0.69
11,6,A,A,Spatial,1,Pool,29.1,10.149,Q1,0.348,0.118,3,9.9,3.281,3,5.2,1.872,3,8.7,2.974,2,5.3,2.022,1,29.1,15.4,0.111,16.70
12,6,A,A,Spatial,2,Pool,20.2,6.696,Q4,0.332,0.151,2,4.7,1.687,1,1.2,0.491,2,6.7,2.140,3,7.6,2.378,1,20.2,10.7,0.143,11.00
13,7,A,A,Spatial,1,Pool,23.9,6.960,Q4,0.291,0.137,1,2.5,0.866,2,10.1,2.580,3,4.4,1.344,2,6.8,2.170,1,23.9,15.0,0.117,13.96
14,7,A,A,Spatial,2,Pool,6.5,1.678,Q1,0.259,0.606,1,5.1,1.266,0,0.0,0.000,1,0.8,0.203,1,0.5,0.209,1,6.5,4.8,0.579,3.20
15,8,A,A,Spatial,1,Pool,10.7,3.242,Q1,0.302,0.371,1,3.1,1.187,0,0.0,0.000,1,6.3,1.499,1,1.3,0.556,1,10.7,6.7,0.344,3.65
16,8,A,A,Spatial,2,Pool,5.2,1.684,Q1,0.321,0.574,1,1.7,0.498,0,0.0,0.000,1,0.5,0.151,1,3.1,1.034,1,5.2,3.4,0.554,2.35
17,1,A,A,Spatial,3,Pool,2.2,0.665,Q3,0.299,0.726,0,0.0,0.000,0,0.0,0.000,1,2.2,0.665,0,0.0,0.000,1,2.2,1.6,0.672,0.32
18,1,A,A,Spatial,4,Pool,5.2,1.374,Q2,0.266,0.541,0,0.0,0.000,1,1.3,0.155,1,3.8,1.218,0,0.0,0.000,1,5.1,4.2,0.448,1.02
19,2,A,A,Spatial,3,Pool,60.0,16.292,Q4,0.272,0.014,4,22.1,5.378,3,8.1,2.945,3,17.2,4.080,5,12.6,3.890,0,,28.2,,44.43
20,2,A,A,Spatial,4,Pool,5.9,0.769,Q3,0.130,0.787,0,0.0,0.000,0,0.0,0.000,1,5.9,0.769,0,0.0,0.000,1,5.9,4.0,0.647,1.31
21,3,A,A,Spatial,3,Pool,3.0,1.011,Q1,0.341,0.984,1,0.8,0.197,0,0.0,0.000,1,0.9,0.287,1,1.2,0.526,1,3.0,2.5,0.905,0.11
22,3,A,A,Spatial,4,Pool,6.2,1.937,Q2,0.314,0.476,0,0.0,0.000,1,1.6,0.549,1,4.5,1.388,0,0.0,0.000,1,6.2,4.5,0.423,1.17
23,4,A,A,Spatial,3,Pool,60.0,11.977,Q4,0.200,0.115,2,3.1,0.720,3,32.5,4.972,3,18.8,4.401,3,5.6,1.884,0,,28.6,,37.97
24,4,A,A,Spatial,4,Pool,24.9,5.429,Q1,0.218,0.218,3,10.7,2.269,3,10.7,2.318,2,2.5,0.629,1,0.9,0.213,1,24.8,13.9,0.213,17.33
25,5,A,A,Spatial,3,Pool,32.4,9.089,Q2,0.281,0.075,5,14.0,3.733,4,4.8,1.505,3,6.5,1.812,4,7.1,2.039,1,32.4,17.6,0.073,15.86
26,5,A,A,Spatial,4,Pool,4.7,1.239,Q2,0.264,0.513,0,0.0,0.000,1,1.0,0.169,1,3.7,1.070,0,0.0,0.000,1,4.7,3.5,0.395,0.93
27,6,A,A,Spatial,3,Pool,27.7,8.742,Q1,0.315,0.100,3,7.9,2.259,3,6.7,2.040,3,6.9,2.230,2,6.3,2.214,1,27.7,15.8,0.095,15.26
28,6,A,A,Spatial,4,Pool,14.5,4.002,Q4,0.276,0.249,1,4.1,1.312,1,3.7,1.211,1,2.5,0.669,1,4.1,0.810,1,14.5,9.2,0.209,9.80
29,7,A,A,Spatial,3,Pool,3.8,1.274,Q1,0.332,0.862,1,1.4,0.450,0,0.0,0.000,1,0.9,0.230,1,1.5,0.594,1,3.8,3.3,0.846,0.35
30,7,A,A,Spatial,4,Pool,3.7,1.078,Q4,0.292,0.889,0,0.0,0.000,0,0.0,0.000,1,0.6,0.165,1,3.1,0.913,1,3.7,3.2,0.888,0.59
31,8,A,A,Spatial,3,Pool,60.0,14.020,Q2,0.234,0.092,5,32.5,6.935,3,15.1,3.408,1,4.5,1.376,3,7.9,2.301,0,,31.2,,51.60
32,8,A,A,Spatial,4,Pool,36.3,8.191,Q3,0.226,0.034,2,9.2,1.986,2,2.5,0.862,4,14.7,2.892,3,9.9,2.451,1,36.3,19.9,0.027,19.69
33,1,A,A,Spatial,5,Pool,5.2,1.796,Q1,0.344,0.673,1,1.4,0.438,1,2.9,1.063,1,0.9,0.295,0,0.0,0.000,1,5.2,4.8,0.669,1.75
34,1,A,A,Spatial,6,Pool,4.9,1.729,Q4,0.351,0.692,0,0.0,0.000,0,0.0,0.000,1,1.7,0.475,1,3.2,1.254,1,4.9,4.2,0.618,1.02
35,2,A,A,Spatial,5,Pool,4.2,1.233,Q2,0.295,0.792,1,1.8,0.639,1,0.6,0.083,1,0.8,0.229,1,0.9,0.283,1,4.2,3.7,0.744,0.78
36,2,A,A,Spatial,6,Pool,37.5,8.705,Q3,0.232,0.071,2,11.5,1.582,1,6.1,1.176,3,8.5,2.551,3,11.3,3.396,1,37.5,19.2,0.056,28.40
37,3,A,A,Spatial,5,Pool,54.9,14.731,Q1,0.268,0.065,4,9.1,2.658,4,17.6,4.575,5,23.4,5.805,4,4.8,1.692,1,54.9,30.4,0.064,25.32
38,3,A,A,Spatial,6,Pool,8.8,2.221,Q1,0.252,0.451,2,4.4,1.234,1,2.8,0.568,1,1.2,0.279,1,0.4,0.139,1,8.8,6.0,0.434,2.53
39,4,A,A,Spatial,5,Pool,53.6,12.412,Q4,0.231,0.059,1,4.5,1.470,3,29.5,5.693,4,11.3,3.123,2,8.3,2.126,1,53.6,27.7,0.051,34.85
40,4,A,A,Spatial,6,Pool,6.2,1.046,Q2,0.169,0.631,0,0.0,0.000,1,4.3,0.552,1,1.9,0.494,0,0.0,0.000,1,6.2,3.3,0.587,1.90
41,5,A,A,Spatial,5,Pool,7.3,1.983,Q4,0.272,0.421,1,0.7,0.144,0,0.0,0.000,2,2.8,0.643,2,3.8,1.196,1,7.3,4.7,0.403,1.09
42,5,A,A,Spatial,6,Pool,2.9,0.926,Q2,0.318,0.864,0,0.0,0.000,1,1.6,0.488,1,1.3,0.438,0,0.0,0.000,1,2.9,2.5,0.859,0.24
43,6,A,A,Spatial,5,Pool,43.2,12.759,Q1,0.295,0.092,4,23.7,6.754,3,6.0,1.851,3,7.8,2.251,3,5.6,1.903,1,43.2,24.9,0.082,28.41
44,6,A,A,Spatial,6,Pool,7.4,2.430,Q3,0.327,0.123,0,0.0,0.000,0,0.0,0.000,2,2.5,0.781,1,4.9,1.648,1,7.4,3.7,0.106,3.08
45,7,A,A,Spatial,5,Pool,10.7,2.912,Q3,0.273,0.149,0,0.0,0.000,1,5.7,1.359,2,4.9,1.553,0,0.0,0.000,1,10.6,6.3,0.103,4.13
46,7,A,A,Spatial,6,Pool,14.4,3.919,Q3,0.273,0.125,1,0.8,0.271,1,2.4,0.838,2,9.9,2.373,1,1.2,0.438,1,14.3,7.7,0.118,5.01
47,8,A,A,Spatial,5,Pool,25.1,6.293,Q1,0.251,0.197,3,16.8,3.937,1,0.9,0.267,2,1.2,0.324,3,6.1,1.765,1,25.1,13.8,0.189,17.68
48,8,A,A,Spatial,6,Pool,21.4,5.099,Q2,0.239,0.082,1,5.5,1.490,2,3.1,1.037,2,12.2,2.359,1,0.5,0.213,1,21.3,10.7,0.072,11.35
49,1,A,A,Spatial,7,Pool,2.3,0.736,Q3,0.319,0.739,0,0.0,0.000,0,0.0,0.000,1,2.3,0.736,0,0.0,0.000,1,2.3,1.7,0.586,0.27
50,1,A,A,Spatial,8,Pool,60.0,18.387,Q1,0.306,0.083,5,13.8,3.841,5,14.9,4.855,7,18.5,5.705,6,12.7,3.986,0,,31.8,,34.76
51,2,A,A,Spatial,7,Pool,50.0,11.923,Q1,0.239,0.103,4,19.8,4.424,1,3.3,0.612,2,9.9,1.897,4,16.9,4.990,1,50.0,28.7,0.100,35.10
52,2,A,A,Spatial,8,Pool,56.4,13.214,Q4,0.234,0.059,2,9.9,2.526,2,4.7,1.475,3,34.0,6.644,3,7.9,2.569,1,56.4,32.1,0.059,25.66
53,3,A,A,Spatial,7,Pool,21.5,5.491,Q3,0.256,0.061,1,2.8,0.671,2,1.7,0.525,3,16.9,4.294,0,0.0,0.000,1,21.5,11.3,0.051,5.57
54,3,A,A,Spatial,8,Pool,9.7,2.909,Q1,0.299,0.415,1,1.2,0.377,0,0.0,0.000,1,4.5,1.255,1,4.0,1.278,1,9.7,7.7,0.383,2.99
55,4,A,A,Spatial,7,Pool,2.3,0.693,Q4,0.306,0.955,0,0.0,0.000,0,0.0,0.000,1,0.9,0.249,1,1.3,0.444,1,2.3,1.8,0.847,0.07
56,4,A,A,Spatial,8,Pool,2.2,0.601,Q2,0.271,0.862,0,0.0,0.000,1,1.3,0.325,1,0.9,0.276,0,0.0,0.000,1,2.2,1.8,0.859,0.15
57,5,A,A,Spatial,7,Pool,3.6,1.045,Q2,0.293,0.899,0,0.0,0.000,1,2.3,0.660,1,1.2,0.385,0,0.0,0.000,1,3.6,3.1,0.815,0.33
58,5,A,A,Spatial,8,Pool,3.3,1.081,Q1,0.331,0.951,1,1.7,0.565,0,0.0,0.000,1,0.9,0.223,1,0.7,0.293,1,3.3,2.8,0.932,0.13
59,6,A,A,Spatial,7,Pool,15.9,5.026,Q2,0.317,0.175,1,3.9,1.243,2,4.5,1.464,2,5.8,1.668,1,1.7,0.652,1,15.9,10.3,0.164,7.07
60,6,A,A,Spatial,8,Pool,10.7,3.503,Q4,0.327,0.281,1,3.9,1.423,0,0.0,0.000,1,1.2,0.328,2,5.6,1.753,1,10.7,7.9,0.255,6.93
61,7,A,A,Spatial,7,Pool,15.2,4.409,Q4,0.290,0.122,1,4.5,1.300,1,1.9,0.686,1,5.1,1.132,1,3.7,1.292,1,15.2,8.3,0.120,8.76
62,7,A,A,Spatial,8,Pool,60.0,16.256,Q2,0.271,0.082,3,22.5,5.446,4,19.7,5.051,4,8.2,2.776,4,9.6,2.984,0,,31.8,,41.60
63,8,A,A,Spatial,7,Pool,45.3,12.314,Q1,0.272,0.099,3,17.3,3.757,2,7.1,2.198,3,8.5,2.684,3,12.4,3.674,1,45.3,26.1,0.098,33.26
64,8,A,A,Spatial,8,Pool,25.6,6.169,Q4,0.241,0.148,1,1.2,0.411,1,3.2,1.075,2,13.6,2.603,2,7.5,2.080,1,25.5,15.9,0.134,11.03
65,1,A,A,Spatial,9,Pool,29.3,7.649,Q4,0.261,0.114,1,4.2,1.166,1,1.3,0.567,2,13.7,2.501,2,10.0,3.416,1,29.3,17.4,0.094,15.06
66,1,A,A,Spatial,10,Pool,2.0,0.577,Q3,0.284,0.875,0,0.0,0.000,0,0.0,0.000,1,2.0,0.577,0,0.0,0.000,1,2.0,1.6,0.876,0.11
67,2,A,A,Spatial,9,Pool,19.1,5.206,Q2,0.272,0.181,2,7.9,1.873,3,4.2,1.196,2,5.6,1.624,1,1.5,0.514,1,19.1,11.2,0.171,11.15
68,2,A,A,Spatial,10,Pool,9.4,2.944,Q1,0.314,0.420,1,4.8,1.359,1,2.4,0.955,1,2.1,0.630,0,0.0,0.000,1,9.4,6.8,0.368,5.19
69,3,A,A,Spatial,9,Pool,5.4,1.777,Q1,0.331,0.657,1,1.6,0.601,1,0.4,0.185,1,3.3,0.992,0,0.0,0.000,1,5.4,3.8,0.570,0.37
70,3,A,A,Spatial,10,Pool,2.6,0.952,Q4,0.365,0.905,0,0.0,0.000,0,0.0,0.000,1,1.1,0.350,1,1.5,0.602,1,2.6,2.2,0.821,0.17
71,4,A,A,Spatial,9,Pool,60.0,14.787,Q1,0.246,0.086,4,23.2,5.481,4,16.8,3.860,5,14.9,3.929,4,5.1,1.517,0,,32.8,,42.78
72,4,A,A,Spatial,10,Pool,9.7,2.818,Q2,0.289,0.305,0,0.0,0.000,1,2.3,0.549,2,3.5,1.182,1,4.0,1.087,1,9.7,6.9,0.269,3.09
73,5,A,A,Spatial,9,Pool,9.5,3.066,Q3,0.323,0.170,0,0.0,0.000,0,0.0,0.000,3,6.1,1.859,2,3.3,1.207,1,9.5,6.0,0.139,2.31
74,5,A,A,Spatial,10,Pool,13.0,4.262,Q2,0.327,0.275,0,0.0,0.000,1,3.3,1.097,2,7.7,2.559,1,2.0,0.606,1,13.0,8.6,0.248,3.06
75,6,A,A,Spatial,9,Pool,19.8,6.165,Q1,0.312,0.199,2,8.2,2.324,2,4.8,1.595,2,4.8,1.526,1,2.0,0.720,1,19.7,12.2,0.191,10.83
76,6,A,A,Spatial,10,Pool,8.7,2.769,Q4,0.317,0.306,0,0.0,0.000,0,0.0,0.000,1,6.9,2.166,1,1.8,0.603,1,8.7,6.1,0.273,2.46
77,7,A,A,Spatial,9,Pool,15.9,4.896,Q4,0.309,0.245,1,0.8,0.252,1,1.5,0.470,2,6.0,1.910,2,7.6,2.265,1,15.9,10.6,0.217,5.38
