Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Rotations,Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
1,1,a,A,Spatial,1,Pool,2/27/2023,60.0,15.931,0.266,3,0.005,2,7.6,2.349,2,7.2,2.249,6,25.5,6.277,6,19.6,5.057,0,
2,1,a,A,Spatial,2,Pool,2/27/2023,60.0,16.844,0.281,2,0.073,3,6.0,1.924,4,14.0,3.934,4,22.9,6.283,4,17.1,4.703,0,
3,2,a,A,Spatial,1,Pool,2/27/2023,3.8,0.974,0.253,0,0.731,1,0.8,0.207,0,0.0,0.000,0,0.0,0.000,1,3.0,0.766,1,0.64
4,2,a,A,Spatial,2,Pool,2/27/2023,9.3,2.017,0.216,0,0.473,1,3.1,0.866,1,6.2,1.151,0,0.0,0.000,0,0.0,0.000,1,3.52
5,3,a,A,Spatial,1,Pool,2/27/2023,60.0,19.934,0.332,4,0.029,4,14.9,5.357,3,12.1,3.697,4,15.7,4.788,6,17.3,6.093,0,
6,3,a,A,Spatial,2,Pool,2/27/2023,4.8,1.411,0.295,0,0.505,1,3.5,1.123,1,1.3,0.288,0,0.0,0.000,0,0.0,0.000,1,0.70
7,4,a,A,Spatial,1,Pool,2/27/2023,60.0,14.973,0.250,1,0.075,5,17.1,4.140,6,20.2,5.250,4,18.4,4.042,2,4.3,1.541,0,
8,4,a,A,Spatial,2,Pool,2/27/2023,21.8,6.049,0.277,0,0.084,3,10.3,2.789,1,4.7,1.229,0,0.0,0.000,1,6.8,2.031,1,10.71
9,5,a,A,Spatial,1,Pool,2/27/2023,58.6,12.697,0.217,2,0.060,2,6.6,1.844,3,37.9,7.397,2,6.8,2.041,1,7.2,1.415,1,43.21
10,5,a,A,Spatial,2,Pool,2/27/2023,17.2,5.352,0.311,2,0.216,3,6.2,2.194,2,10.3,2.874,0,0.0,0.000,1,0.7,0.283,1,7.92
11,6,a,A,Spatial,1,Pool,2/27/2023,39.4,9.939,0.252,2,0.055,4,16.4,3.996,3,13.8,3.591,1,5.6,1.297,1,3.7,1.055,1,23.91
12,6,a,A,Spatial,2,Pool,2/27/2023,60.0,12.259,0.204,0,0.093,4,44.7,7.570,2,3.9,1.266,1,2.7,0.912,3,8.8,2.511,0,
13,7,a,A,Spatial,1,Pool,2/27/2023,60.0,11.971,0.200,1,0.024,1,3.6,1.319,3,12.7,2.401,5,36.8,6.002,2,6.9,2.250,0,
14,7,a,A,Spatial,2,Pool,2/27/2023,60.0,15.217,0.254,3,0.062,4,10.0,3.023,3,11.3,2.660,3,22.1,4.907,4,16.6,4.628,0,
15,8,a,A,Spatial,1,Pool,2/27/2023,60.0,13.014,0.217,3,0.105,4,20.0,4.416,3,16.5,2.670,2,10.4,2.494,3,13.1,3.434,0,
16,8,a,A,Spatial,2,Pool,2/27/2023,60.0,12.472,0.208,4,0.068,3,23.7,4.087,6,28.5,6.197,4,6.6,1.789,1,1.2,0.400,0,
17,9,a,A,Spatial,1,Pool,2/27/2023,37.7,10.948,0.290,2,0.046,2,10.0,2.694,1,3.2,1.234,2,12.7,3.322,3,11.8,3.698,1,28.27
18,9,a,A,Spatial,2,Pool,2/27/2023,3.3,0.679,0.209,0,0.803,1,3.2,0.679,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.42
19,10,a,A,Spatial,1,Pool,2/27/2023,60.0,14.719,0.245,0,0.058,4,8.9,3.230,4,20.3,4.700,3,10.0,2.619,3,20.8,4.171,0,
20,10,a,A,Spatial,2,Pool,2/27/2023,19.9,6.015,0.302,0,0.125,2,4.3,1.157,3,9.4,3.255,1,6.3,1.603,0,0.0,0.000,1,14.82
21,11,a,A,Spatial,1,Pool,2/27/2023,58.3,17.654,0.303,3,0.073,3,10.7,3.548,4,8.2,2.704,5,27.1,7.279,3,12.3,4.123,1,50.17
22,11,a,A,Spatial,2,Pool,2/27/2023,60.0,16.662,0.278,1,0.057,2,3.4,1.159,1,3.6,0.893,5,28.9,7.064,6,24.1,7.546,0,
23,12,a,A,Spatial,1,Pool,2/27/2023,21.3,4.336,0.204,1,0.207,1,9.7,1.785,2,9.6,1.864,1,1.9,0.688,0,0.0,0.000,1,10.23
24,12,a,A,Spatial,2,Pool,2/27/2023,22.8,6.432,0.282,1,0.175,1,1.3,0.377,1,7.1,2.257,2,12.8,3.089,1,1.6,0.708,1,19.04
25,13,a,A,Spatial,1,Pool,2/27/2023,45.0,13.690,0.304,2,0.043,7,15.3,4.294,2,9.3,3.028,1,3.2,1.291,6,17.3,5.076,1,26.51
26,13,a,A,Spatial,2,Pool,2/27/2023,60.0,16.043,0.267,2,0.084,4,21.2,5.924,3,16.2,4.157,3,9.6,1.988,3,12.9,3.974,0,
27,14,a,A,Spatial,1,Pool,2/27/2023,15.0,3.059,0.204,0,0.393,1,0.9,0.318,1,3.7,1.302,1,10.3,1.440,0,0.0,0.000,1,12.01
