Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),First zone entered,Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q2 : entries,Q2 : time (s),Q3 : entries,Q3 : time (s),Q4 : entries,Q4 : time (s),Platform : entries,Platform : distance to first entry (m),Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
1,1,a,A,Spatial,1,Pool,3/3/2023,48.0,15.425,Q2,0.321,0.054,5,22.8,6,17.4,3,4.7,2,3.2,1,15.425,48.0,26.2,0.049,35.47
2,1,a,A,Spatial,2,Pool,3/3/2023,18.3,6.895,Q4,0.377,0.092,2,4.9,2,2.1,3,2.1,3,9.1,1,6.895,18.3,9.1,0.090,10.89
3,2,a,A,Spatial,1,Pool,3/3/2023,60.0,13.880,Q2,0.231,0.114,7,25.1,7,34.9,0,0.0,0,0.0,0,,,28.2,,
4,2,a,A,Spatial,2,Pool,3/3/2023,60.0,19.717,Q2,0.329,0.070,7,33.9,4,9.8,4,7.0,7,9.3,0,,,30.1,,
5,3,a,A,Spatial,1,Pool,3/3/2023,60.0,17.305,Q4,0.288,0.065,7,46.9,3,1.3,0,0.0,5,11.9,0,,,29.6,,
6,3,a,A,Spatial,2,Pool,3/3/2023,60.0,18.740,Q2,0.312,0.024,7,36.1,7,17.3,1,3.5,1,3.2,0,,,31.5,,
7,4,a,A,Spatial,1,Pool,3/3/2023,36.6,9.825,Q2,0.269,0.104,4,13.7,5,20.1,1,2.7,0,0.0,1,9.825,36.5,21.9,0.092,29.19
8,4,a,A,Spatial,2,Pool,3/3/2023,43.3,12.732,Q1,0.294,0.099,4,16.6,4,19.7,2,5.3,1,1.6,1,12.732,43.2,24.3,0.092,29.69
9,5,a,A,Spatial,1,Pool,3/3/2023,10.5,2.539,Q1,0.241,0.427,2,5.8,1,3.7,1,1.1,0,0.0,1,2.539,10.5,7.1,0.418,5.16
10,5,a,A,Spatial,2,Pool,3/3/2023,10.2,3.424,Q1,0.336,0.370,1,2.7,1,1.5,2,5.9,1,0.2,1,3.424,10.2,6.9,0.336,1.76
11,6,a,A,Spatial,1,Pool,3/3/2023,60.0,17.706,Q1,0.295,0.035,5,34.9,3,8.8,2,11.9,3,4.4,0,,,30.6,,
12,6,a,A,Spatial,2,Pool,3/3/2023,16.4,5.103,Q4,0.312,0.174,1,3.6,0,0.0,2,1.0,3,11.8,1,5.103,16.4,10.0,0.171,9.28
13,7,a,A,Spatial,1,Pool,3/3/2023,27.3,9.472,Q1,0.348,0.125,4,12.6,3,10.4,1,1.6,1,2.7,1,9.472,27.2,17.5,0.122,19.52
14,7,a,A,Spatial,2,Pool,3/3/2023,19.0,5.784,Q2,0.305,0.204,1,0.1,2,9.2,2,7.9,1,1.7,1,5.784,18.9,11.6,0.177,7.61
15,8,a,A,Spatial,1,Pool,3/3/2023,60.0,14.773,Q1,0.246,0.015,5,52.1,2,2.1,0,0.0,2,5.7,0,,,30.3,,
16,8,a,A,Spatial,2,Pool,3/3/2023,60.0,15.169,Q1,0.253,0.070,3,39.3,1,3.5,2,7.3,4,9.9,0,,,31.9,,
17,9,a,A,Spatial,1,Pool,3/3/2023,13.9,3.736,Q4,0.270,0.179,1,2.5,1,2.8,1,4.9,1,3.6,1,3.736,13.8,8.4,0.171,5.05
18,9,a,A,Spatial,2,Pool,3/3/2023,26.5,8.375,Q1,0.316,0.155,2,11.3,1,5.2,1,2.0,2,8.0,1,8.375,26.5,16.9,0.136,15.50
19,10,a,A,Spatial,1,Pool,3/3/2023,60.0,13.478,Q3,0.225,0.093,5,16.9,6,39.7,2,3.4,0,0.0,0,,,28.9,,
20,10,a,A,Spatial,2,Pool,3/3/2023,6.0,1.573,Q2,0.261,0.554,0,0.0,1,2.3,1,3.7,0,0.0,1,1.573,6.0,3.8,0.481,1.28
21,11,a,A,Spatial,1,Pool,3/3/2023,17.4,6.095,Q4,0.349,0.131,2,8.5,1,3.5,2,2.5,3,2.9,1,6.095,17.4,9.9,0.121,10.72
