Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
21,11,A,A,Spatial,1,Pool,9/25/2023,60.0,15.176,0.253,0.036,3,10.8,3.087,4,14.3,4.244,4,27.2,5.159,2,7.7,2.686,0,
22,11,A,A,Spatial,2,Pool,9/25/2023,17.5,5.278,0.302,0.197,1,0.8,0.180,1,2.4,0.934,2,6.4,2.423,2,7.9,1.741,1,13.76
23,12,A,A,Spatial,1,Pool,9/25/2023,17.5,4.278,0.245,0.181,1,3.3,0.777,1,6.0,0.888,1,3.4,1.275,1,4.7,1.337,1,13.08
24,12,A,A,Spatial,2,Pool,9/25/2023,35.7,11.073,0.310,0.108,3,5.9,2.175,5,12.9,3.955,4,9.3,2.454,2,7.6,2.488,1,24.99
25,13,A,A,Spatial,1,Pool,9/25/2023,60.0,14.172,0.236,0.030,5,20.0,3.712,1,3.7,1.229,3,10.1,2.425,7,26.1,6.806,0,
26,13,A,A,Spatial,2,Pool,9/25/2023,60.0,17.075,0.285,0.050,6,13.7,4.023,5,14.0,3.657,3,13.7,4.132,4,18.6,5.263,0,
27,14,A,A,Spatial,1,Pool,9/25/2023,60.0,12.653,0.211,0.050,2,6.6,2.179,2,4.3,1.353,3,10.5,2.218,3,38.5,6.904,0,
28,14,A,A,Spatial,2,Pool,9/25/2023,60.0,13.822,0.230,0.051,1,1.2,0.409,2,9.9,1.640,5,25.1,5.815,4,23.9,5.959,0,
29,15,A,A,Spatial,1,Pool,9/25/2023,60.0,14.778,0.246,0.011,4,21.5,4.667,4,19.8,5.000,2,5.3,1.898,2,13.3,3.214,0,
30,15,A,A,Spatial,2,Pool,9/25/2023,27.0,7.875,0.291,0.090,3,8.4,2.613,2,8.0,2.411,1,6.8,1.679,2,3.8,1.172,1,15.04
31,16,A,A,Spatial,1,Pool,9/25/2023,60.0,12.843,0.214,0.011,1,3.3,1.192,1,2.9,1.060,5,29.5,5.321,4,24.3,5.270,0,
32,16,A,A,Spatial,2,Pool,9/25/2023,60.0,13.553,0.226,0.066,2,2.1,0.388,1,0.5,0.163,3,23.5,4.767,4,33.9,8.234,0,
33,17,A,A,Spatial,1,Pool,9/25/2023,60.0,27.016,0.450,0.029,7,29.1,9.109,5,7.4,6.063,2,0.9,1.721,8,22.6,10.123,0,
34,17,A,A,Spatial,2,Pool,9/25/2023,10.9,3.337,0.306,0.373,1,2.8,0.604,2,2.0,0.300,2,3.8,1.538,1,2.3,0.895,1,4.75
55,11,A,A,Spatial,3,Pool,9/25/2023,60.0,18.075,0.301,0.062,4,15.2,4.118,5,21.0,6.952,4,14.5,4.248,3,9.3,2.757,0,
56,11,A,A,Spatial,4,Pool,9/25/2023,23.5,8.212,0.350,0.138,3,6.0,1.888,2,6.3,2.246,2,5.6,2.023,2,5.6,2.055,1,13.24
57,12,A,A,Spatial,3,Pool,9/25/2023,60.0,13.783,0.230,0.113,1,4.5,1.319,3,10.5,2.497,4,36.0,7.496,3,9.0,2.471,0,
58,12,A,A,Spatial,4,Pool,9/25/2023,60.0,11.129,0.185,0.073,2,3.1,0.574,3,32.7,4.893,4,16.7,4.114,3,7.5,1.548,0,
59,13,A,A,Spatial,3,Pool,9/25/2023,3.2,1.094,0.344,0.812,1,1.3,0.442,1,1.8,0.653,0,0.0,0.000,0,0.0,0.000,1,0.43
60,13,A,A,Spatial,4,Pool,9/25/2023,60.0,19.444,0.324,0.066,4,13.2,3.933,2,5.9,1.673,4,10.4,4.080,6,30.5,9.758,0,
61,14,A,A,Spatial,3,Pool,9/25/2023,60.0,14.144,0.236,0.063,2,8.9,2.401,2,6.3,2.421,3,18.1,5.247,3,26.7,4.075,0,
62,14,A,A,Spatial,4,Pool,9/25/2023,60.0,16.166,0.269,0.064,2,9.5,2.454,3,7.2,2.214,5,27.0,6.603,4,16.4,4.895,0,
63,15,A,A,Spatial,3,Pool,9/25/2023,60.0,16.634,0.277,0.042,5,13.5,4.381,5,26.1,6.224,4,10.7,3.343,3,9.7,2.687,0,
64,15,A,A,Spatial,4,Pool,9/25/2023,29.5,8.269,0.280,0.140,3,11.5,2.818,3,8.1,2.583,2,6.3,1.736,1,3.6,1.132,1,13.05
65,16,A,A,Spatial,3,Pool,9/25/2023,60.0,15.007,0.250,0.100,2,5.6,1.911,3,18.1,5.024,3,23.2,4.586,2,13.1,3.486,0,
66,16,A,A,Spatial,4,Pool,9/25/2023,19.7,4.727,0.240,0.198,1,2.0,0.304,1,2.8,0.891,2,10.8,2.663,2,4.1,0.869,1,15.11
67,17,A,A,Spatial,3,Pool,9/25/2023,60.0,20.852,0.348,0.058,3,11.2,3.950,3,20.5,5.990,4,15.5,5.662,4,12.8,5.249,0,
68,17,A,A,Spatial,4,Pool,9/25/2023,44.4,12.055,0.272,0.110,2,8.0,2.008,2,4.9,1.830,4,16.2,4.951,3,15.2,3.266,1,33.51
89,11,A,A,Spatial,5,Pool,9/25/2023,22.1,5.615,0.254,0.096,2,16.8,4.278,2,5.3,1.338,0,0.0,0.000,0,0.0,0.000,1,6.45
90,11,A,A,Spatial,6,Pool,9/25/2023,11.7,3.729,0.320,0.250,1,3.2,0.838,2,4.9,1.638,1,3.6,1.253,0,0.0,0.000,1,6.00
91,12,A,A,Spatial,5,Pool,9/25/2023,60.0,12.678,0.211,0.059,3,10.7,2.090,5,28.6,5.700,3,15.5,3.576,1,5.2,1.312,0,
92,12,A,A,Spatial,6,Pool,9/25/2023,60.0,10.028,0.167,0.073,1,2.0,0.089,5,38.1,6.304,4,19.9,3.634,0,0.0,0.000,0,
93,13,A,A,Spatial,5,Pool,9/25/2023,60.0,17.543,0.292,0.049,3,6.0,1.475,1,3.0,1.336,5,21.6,6.162,7,29.3,8.571,0,
94,13,A,A,Spatial,6,Pool,9/25/2023,60.0,17.545,0.292,0.082,4,11.3,3.984,4,11.2,3.578,4,8.9,3.253,5,28.6,6.730,0,
95,14,A,A,Spatial,5,Pool,9/25/2023,60.0,17.257,0.288,0.066,3,8.4,2.783,4,8.2,3.015,5,13.6,4.253,5,29.8,7.205,0,
96,14,A,A,Spatial,6,Pool,9/25/2023,60.0,15.739,0.262,0.069,2,6.5,1.954,2,6.8,2.074,5,24.4,6.545,6,22.3,5.167,0,
97,15,A,A,Spatial,5,Pool,9/25/2023,29.6,7.479,0.252,0.081,3,7.4,1.661,1,1.9,0.464,3,5.2,1.486,5,15.1,3.868,1,16.44
98,15,A,A,Spatial,6,Pool,9/25/2023,12.5,3.371,0.270,0.334,1,0.9,0.224,2,2.5,0.850,2,9.0,2.296,0,0.0,0.000,1,7.56
99,16,A,A,Spatial,5,Pool,9/25/2023,8.6,2.668,0.311,0.404,1,1.2,0.339,1,0.8,0.138,1,4.1,1.310,1,2.4,0.881,1,5.50
100,16,A,A,Spatial,6,Pool,9/25/2023,56.9,15.615,0.275,0.078,3,16.8,4.348,4,8.7,2.276,5,19.2,5.683,3,12.2,3.308,1,36.52
