Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q2 : entries,Q2 : time (s),Q3 : entries,Q3 : time (s),Q4 : entries,Q4 : time (s),Platform : entries,Platform : CIPL (m·s)
1,1,a,A,Spatial,1,Pool,60.0,18.328,0.305,0.075,5,22.0,6,23.1,4,8.7,4,6.3,0,44.79
2,1,a,A,Spatial,2,Pool,60.0,18.655,0.311,0.024,6,34.9,5,15.2,4,4.7,4,5.2,0,50.47
3,2,a,A,Spatial,1,Pool,36.2,10.779,0.297,0.056,4,15.9,4,13.4,1,4.9,1,2.0,1,27.95
4,2,a,A,Spatial,2,Pool,3.9,1.609,0.412,0.570,0,0.0,0,0.0,1,2.3,1,1.6,1,0.68
5,3,a,A,Spatial,1,Pool,18.6,5.692,0.306,0.154,2,2.0,1,2.0,3,2.6,4,12.0,1,7.04
6,3,a,A,Spatial,2,Pool,11.7,3.746,0.321,0.195,2,3.3,1,0.3,2,2.3,3,5.8,1,5.35
7,4,a,A,Spatial,1,Pool,60.0,17.217,0.287,0.050,6,42.9,4,8.4,2,4.8,4,3.9,0,53.07
8,4,a,A,Spatial,2,Pool,60.0,15.498,0.258,0.016,5,38.5,2,6.3,2,4.7,4,10.5,0,53.10
9,5,a,A,Spatial,1,Pool,39.2,11.246,0.287,0.076,7,19.2,1,1.1,1,1.7,6,17.2,1,27.66
10,5,a,A,Spatial,2,Pool,18.3,6.051,0.331,0.192,3,7.3,3,7.5,2,2.5,1,0.9,1,9.42
11,6,a,A,Spatial,1,Pool,60.0,18.455,0.308,0.014,5,5.9,6,46.5,1,4.4,1,3.2,0,42.16
12,6,a,A,Spatial,2,Pool,13.3,5.076,0.383,0.153,2,8.0,1,0.0,1,0.7,2,4.6,1,8.86
13,7,a,A,Spatial,1,Pool,60.0,16.349,0.272,0.012,9,45.7,5,8.0,0,0.0,3,6.2,0,56.04
14,7,a,A,Spatial,2,Pool,5.9,1.331,0.225,0.495,0,0.0,1,1.1,1,4.8,0,0.0,1,1.17
15,8,a,A,Spatial,1,Pool,60.0,18.259,0.304,0.020,7,32.6,5,14.9,2,6.7,3,5.8,0,46.34
16,8,a,A,Spatial,2,Pool,4.4,1.463,0.331,0.272,0,0.0,0,0.0,1,4.4,0,0.0,1,0.93
17,9,a,A,Spatial,1,Pool,4.0,1.207,0.301,0.735,1,1.2,1,1.1,1,0.9,1,0.8,1,0.69
18,9,a,A,Spatial,2,Pool,15.9,5.721,0.359,0.195,1,1.3,1,2.3,2,6.5,2,5.9,1,7.01
19,10,a,A,Spatial,1,Pool,60.0,17.672,0.295,0.068,6,29.0,4,9.1,3,6.8,5,15.2,0,49.47
20,10,a,A,Spatial,2,Pool,11.2,3.981,0.357,0.318,2,5.9,1,3.6,1,1.3,1,0.3,1,6.10
