Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : time (s),Platform : distance (m),Platform : CIPL (m·s),Platform entry : number
1,1,A,A,Spatial,1,Pool,8/28/2023,60.0,13.942,0.232,0.108,4,24.8,5.526,1,3.7,1.212,2,4.9,1.582,5,26.6,5.622,0,0.0,0.000,37.63,0
2,1,A,A,Spatial,2,Pool,8/28/2023,55.8,13.402,0.240,0.086,4,18.4,4.280,4,13.8,3.790,3,13.8,3.178,3,9.8,2.155,1,0.0,0.000,35.78,1
3,2,A,A,Spatial,1,Pool,8/28/2023,60.0,17.971,0.300,0.034,3,15.7,4.478,3,11.9,3.748,4,11.5,4.363,5,20.9,5.382,0,0.0,0.000,44.97,0
4,2,A,A,Spatial,2,Pool,8/28/2023,30.3,8.608,0.284,0.134,2,5.5,1.572,1,2.4,0.728,2,14.4,3.706,2,8.0,2.602,1,0.0,0.000,22.59,1
5,3,A,A,Spatial,1,Pool,8/28/2023,60.0,15.412,0.257,0.100,3,10.4,2.751,5,37.7,9.086,3,10.5,3.109,1,1.3,0.466,0,0.0,0.000,43.41,0
6,3,A,A,Spatial,2,Pool,8/28/2023,11.0,3.345,0.304,0.167,2,2.1,0.480,2,8.9,2.865,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,5.23,1
7,4,A,A,Spatial,1,Pool,8/28/2023,60.0,15.753,0.263,0.014,3,11.7,3.521,2,7.0,2.226,3,15.6,4.609,5,25.6,5.397,0,0.0,0.000,45.89,0
8,4,A,A,Spatial,2,Pool,8/28/2023,60.0,15.481,0.258,0.085,5,18.9,5.228,5,19.2,4.791,3,11.5,2.769,2,10.4,2.694,0,0.0,0.000,36.06,0
9,5,A,A,Spatial,1,Pool,8/28/2023,28.7,7.730,0.269,0.109,3,6.4,2.056,3,17.0,3.542,1,2.0,0.702,2,3.3,1.430,1,0.0,0.000,14.95,1
10,5,A,A,Spatial,2,Pool,8/28/2023,60.0,18.250,0.304,0.048,4,12.2,3.738,8,26.4,7.926,6,13.4,4.134,2,8.0,2.452,0,0.0,0.000,41.00,0
11,6,A,A,Spatial,1,Pool,8/28/2023,60.0,15.317,0.255,0.048,5,29.6,6.669,3,11.6,2.942,2,9.1,2.786,3,9.7,2.921,0,0.0,0.000,34.45,0
12,6,A,A,Spatial,2,Pool,8/28/2023,5.8,1.550,0.269,0.576,1,1.1,0.287,0,0.0,0.000,0,0.0,0.000,1,4.7,1.263,1,0.0,0.000,1.77,1
13,7,A,A,Spatial,1,Pool,8/28/2023,60.0,15.072,0.251,0.048,2,5.7,2.434,3,9.8,3.064,5,34.0,5.993,4,10.5,3.581,0,0.0,0.000,54.36,0
14,7,A,A,Spatial,2,Pool,8/28/2023,34.5,9.762,0.283,0.112,2,6.4,1.376,2,6.9,2.123,3,6.1,2.408,3,15.0,3.855,1,0.0,0.000,22.37,1
15,8,A,A,Spatial,1,Pool,8/28/2023,60.0,19.627,0.327,0.043,6,19.3,6.771,4,17.9,4.493,3,10.0,3.870,5,12.8,4.493,0,0.0,0.000,40.80,0
16,8,A,A,Spatial,2,Pool,8/28/2023,29.7,9.574,0.323,0.107,3,7.1,2.424,2,7.5,2.581,2,10.3,2.858,3,4.8,1.711,1,0.0,0.000,18.81,1
17,9,A,A,Spatial,1,Pool,8/28/2023,10.4,1.826,0.176,0.290,2,8.6,1.657,0,0.0,0.000,0,0.0,0.000,1,1.7,0.169,1,0.0,0.000,3.51,1
18,9,A,A,Spatial,2,Pool,8/28/2023,60.0,21.973,0.366,0.026,3,7.9,3.328,4,11.1,4.589,6,22.2,7.806,5,18.8,6.250,0,0.0,0.000,48.17,0
19,10,A,A,Spatial,1,Pool,8/28/2023,60.0,12.359,0.206,0.058,3,14.9,3.662,4,38.0,6.828,1,7.1,1.869,0,0.0,0.000,0,0.0,0.000,37.99,0
20,10,A,A,Spatial,2,Pool,8/28/2023,60.0,13.478,0.225,0.062,8,10.4,2.870,11,36.1,8.089,3,13.6,2.519,0,0.0,0.000,0,0.0,0.000,36.14,0
21,11,A,A,Spatial,1,Pool,8/28/2023,60.0,14.366,0.239,0.015,1,3.3,1.282,4,18.1,4.081,5,36.3,8.103,1,2.3,0.900,0,0.0,0.000,55.86,0
22,11,A,A,Spatial,2,Pool,8/28/2023,60.0,18.645,0.311,0.071,3,12.8,3.936,3,8.4,2.702,3,19.3,5.421,4,19.4,6.586,0,0.0,0.000,47.48,0
23,12,A,A,Spatial,1,Pool,8/28/2023,60.0,16.176,0.270,0.009,4,16.7,5.143,5,25.1,5.168,3,11.7,3.689,3,6.5,2.176,0,0.0,0.000,40.15,0
24,12,A,A,Spatial,2,Pool,8/28/2023,60.0,15.270,0.254,0.035,4,26.9,5.908,3,10.1,3.387,3,12.4,3.061,2,10.5,2.914,0,0.0,0.000,31.95,0
25,13,A,A,Spatial,1,Pool,8/28/2023,9.2,2.450,0.265,0.204,2,7.9,1.977,0,0.0,0.000,0,0.0,0.000,1,1.3,0.473,1,0.0,0.000,2.54,1
26,13,A,A,Spatial,2,Pool,8/28/2023,20.5,7.265,0.354,0.052,4,10.0,3.738,2,6.9,2.251,0,0.0,0.000,1,3.6,1.276,1,0.0,0.000,9.79,1
27,14,A,A,Spatial,1,Pool,8/28/2023,60.0,14.389,0.240,0.039,3,4.0,1.345,1,2.8,1.056,3,18.6,3.355,5,34.6,8.633,0,0.0,0.000,50.57,0
28,14,A,A,Spatial,2,Pool,8/28/2023,26.0,8.028,0.309,0.136,2,6.7,1.949,2,5.2,1.694,2,12.4,3.678,1,1.7,0.707,1,0.0,0.000,15.62,1
29,15,A,A,Spatial,1,Pool,8/28/2023,60.0,18.071,0.301,0.062,5,20.0,5.543,4,12.4,3.925,3,11.2,3.633,4,16.4,4.970,0,0.0,0.000,40.50,0
30,15,A,A,Spatial,2,Pool,8/28/2023,45.1,9.352,0.207,0.092,3,8.1,2.258,1,4.3,1.240,1,2.7,0.959,3,30.0,4.894,1,0.0,0.000,28.33,1
31,16,A,A,Spatial,1,Pool,8/28/2023,60.0,15.437,0.257,0.052,1,4.1,1.426,4,19.0,5.562,6,29.3,6.734,3,7.6,1.715,0,0.0,0.000,52.62,0
32,16,A,A,Spatial,2,Pool,8/28/2023,60.0,13.640,0.227,0.076,3,29.9,5.629,3,13.0,2.809,2,9.7,2.643,4,7.4,2.558,0,0.0,0.000,29.17,0
33,17,A,A,Spatial,1,Pool,8/28/2023,48.5,15.058,0.310,0.061,4,14.8,5.001,2,3.7,1.643,2,2.8,1.233,4,27.2,7.182,1,0.0,0.000,29.77,1
