Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Time,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
1,1,A,A,Spatial,1,Pool,9/1/2023,10:20,26.3,6.599,0.251,0.116,1,16.5,3.852,1,4.8,0.869,1,1.6,0.559,1,3.3,1.319,1,20.68
2,1,A,A,Spatial,2,Pool,9/1/2023,10:21,33.0,10.295,0.312,0.127,3,15.1,4.378,2,5.7,1.687,2,6.1,2.088,2,6.0,2.142,1,22.25
3,2,A,A,Spatial,1,Pool,9/1/2023,10:22,60.0,16.272,0.271,0.075,7,36.6,9.118,6,10.3,3.454,2,2.4,0.808,3,10.7,2.891,0,51.89
4,2,A,A,Spatial,2,Pool,9/1/2023,10:23,60.0,17.658,0.294,0.060,4,21.7,5.550,5,23.0,7.236,2,10.5,3.472,1,4.8,1.400,0,46.84
5,3,A,A,Spatial,1,Pool,9/1/2023,10:25,5.5,1.829,0.334,0.629,1,0.6,0.058,0,0.0,0.000,1,1.5,0.532,1,3.4,1.239,1,1.61
6,3,A,A,Spatial,2,Pool,9/1/2023,10:26,11.8,4.093,0.348,0.306,1,2.8,0.980,0,0.0,0.000,1,5.7,1.855,1,3.2,1.258,1,4.79
7,4,A,A,Spatial,1,Pool,9/1/2023,10:26,19.7,5.635,0.286,0.195,2,11.9,3.403,2,3.7,0.817,1,0.9,0.277,1,3.2,1.138,1,14.69
8,4,A,A,Spatial,2,Pool,9/1/2023,10:27,1.5,0.430,0.280,0.980,1,0.5,0.065,1,0.1,0.052,1,0.9,0.313,0,0.0,0.000,1,0.06
9,5,A,A,Spatial,1,Pool,9/1/2023,10:28,60.0,19.425,0.324,0.051,4,22.4,6.797,2,5.5,2.163,4,14.5,4.808,6,17.5,5.658,0,41.46
10,5,A,A,Spatial,2,Pool,9/1/2023,10:30,19.1,7.250,0.379,0.167,3,9.9,3.560,3,5.7,2.298,2,1.5,0.504,2,2.0,0.889,1,12.59
11,6,A,A,Spatial,1,Pool,9/1/2023,10:31,60.0,16.487,0.275,0.017,6,39.2,10.663,4,6.2,1.945,1,3.2,0.895,2,11.5,2.983,0,53.87
12,6,A,A,Spatial,2,Pool,9/1/2023,10:33,57.0,15.823,0.277,0.061,4,19.6,5.049,2,4.5,1.701,4,10.4,3.020,6,22.5,6.054,1,41.65
13,7,A,A,Spatial,1,Pool,9/1/2023,10:34,37.1,12.145,0.327,0.070,4,14.6,4.940,5,21.6,6.927,1,0.9,0.278,0,0.0,0.000,1,30.02
14,7,A,A,Spatial,2,Pool,9/1/2023,10:35,1.6,0.358,0.221,0.902,0,0.0,0.000,0,0.0,0.000,1,1.6,0.358,0,0.0,0.000,1,0.06
15,8,A,A,Spatial,1,Pool,9/1/2023,10:36,60.0,20.006,0.333,0.044,7,25.3,8.200,3,9.2,3.736,2,5.8,2.049,6,19.8,6.021,0,47.08
16,8,A,A,Spatial,2,Pool,9/1/2023,10:38,60.0,18.381,0.306,0.007,3,12.3,3.667,6,22.3,7.226,4,12.6,3.466,2,12.8,4.022,0,43.76
17,9,A,A,Spatial,1,Pool,9/1/2023,10:40,60.0,22.525,0.375,0.051,9,34.0,12.638,3,6.4,2.478,2,5.1,2.336,8,14.5,5.074,0,47.75
18,9,A,A,Spatial,2,Pool,9/1/2023,10:41,60.0,20.107,0.335,0.064,4,18.6,6.094,5,19.1,6.849,3,18.3,5.449,2,4.0,1.715,0,39.05
19,10,A,A,Spatial,1,Pool,9/1/2023,10:43,60.0,17.368,0.289,0.057,5,41.8,11.731,3,5.0,1.657,3,2.5,0.527,5,10.6,3.453,0,50.78
20,10,A,A,Spatial,2,Pool,9/1/2023,10:45,18.3,4.978,0.272,0.236,1,7.3,1.933,2,5.6,1.590,2,5.3,1.456,0,0.0,0.000,1,8.32
21,11,A,A,Spatial,1,Pool,9/1/2023,10:45,60.0,18.770,0.313,0.019,5,29.6,8.334,3,11.2,3.730,2,5.2,2.041,5,14.0,4.665,0,45.95
22,11,A,A,Spatial,2,Pool,9/1/2023,10:47,60.0,19.845,0.331,0.065,5,19.2,5.895,5,15.1,5.380,4,11.6,3.709,4,14.1,4.861,0,42.89
23,12,A,A,Spatial,1,Pool,9/1/2023,10:49,60.0,16.231,0.271,0.065,8,46.4,12.134,3,4.0,0.887,2,1.9,0.602,7,7.6,2.608,0,55.80
24,12,A,A,Spatial,2,Pool,9/1/2023,10:51,60.0,18.705,0.312,0.048,5,18.7,5.769,7,14.6,4.234,7,14.8,4.224,5,12.0,4.478,0,39.98
25,13,A,A,Spatial,1,Pool,9/1/2023,10:52,1.5,0.441,0.297,0.922,0,0.0,0.000,0,0.0,0.000,1,1.5,0.441,0,0.0,0.000,1,0.08
26,13,A,A,Spatial,2,Pool,9/1/2023,10:53,3.0,1.153,0.383,0.682,0,0.0,0.000,1,2.1,0.823,1,0.9,0.330,0,0.0,0.000,1,0.69
27,14,A,A,Spatial,1,Pool,9/1/2023,10:53,29.1,9.366,0.322,0.112,5,18.8,5.994,3,6.8,2.116,1,0.7,0.281,2,2.8,0.975,1,23.53
28,14,A,A,Spatial,2,Pool,9/1/2023,10:54,34.2,10.095,0.295,0.088,3,9.9,3.342,3,8.2,2.211,3,7.0,1.580,3,9.1,2.962,1,21.25
29,15,A,A,Spatial,1,Pool,9/1/2023,10:55,1.6,0.386,0.236,0.973,0,0.0,0.000,0,0.0,0.000,1,1.6,0.386,0,0.0,0.000,1,0.05
30,15,A,A,Spatial,2,Pool,9/1/2023,10:56,60.0,19.437,0.324,0.009,7,43.6,13.482,3,7.7,2.450,1,3.3,1.383,4,5.3,2.122,0,52.90
31,16,A,A,Spatial,1,Pool,9/1/2023,10:59,38.3,12.618,0.330,0.056,6,14.0,4.846,3,5.7,1.655,2,4.3,1.524,5,14.2,4.592,1,26.08
32,16,A,A,Spatial,2,Pool,9/1/2023,11:00,60.0,20.310,0.339,0.024,7,24.3,7.938,5,12.4,4.309,3,12.1,3.872,4,11.2,4.192,0,42.00
33,17,A,A,Spatial,1,Pool,9/1/2023,11:02,60.0,18.909,0.315,0.065,4,14.3,4.690,6,35.0,10.569,3,3.2,1.134,2,7.5,2.516,0,42.99
34,17,A,A,Spatial,2,Pool,9/1/2023,11:03,22.6,7.389,0.327,0.123,3,9.2,3.148,2,4.6,1.412,2,5.3,1.493,3,3.5,1.337,1,13.27
35,18,A,A,Spatial,1,Pool,9/1/2023,11:04,35.0,11.320,0.323,0.092,5,16.1,4.904,4,9.5,3.360,2,6.9,2.084,2,2.5,0.973,1,23.10
36,18,A,A,Spatial,2,Pool,9/1/2023,11:05,7.1,2.350,0.330,0.332,1,0.5,0.190,1,1.1,0.280,2,2.4,0.803,2,3.1,1.077,1,1.66
37,19,A,A,Spatial,1,Pool,9/1/2023,11:08,41.6,13.006,0.313,0.085,4,23.7,6.691,3,9.7,3.392,2,4.9,1.764,2,3.2,1.159,1,33.41
38,19,A,A,Spatial,2,Pool,9/1/2023,11:10,2.9,0.897,0.314,0.943,0,0.0,0.000,1,1.9,0.566,1,0.9,0.331,0,0.0,0.000,1,0.28
39,20,A,A,Spatial,1,Pool,9/1/2023,11:10,22.2,5.713,0.258,0.145,2,8.4,2.364,1,1.7,0.586,1,1.7,0.517,2,10.3,2.245,1,16.70
40,20,A,A,Spatial,2,Pool,9/1/2023,11:11,33.1,9.398,0.284,0.079,3,10.4,3.107,1,1.0,0.080,3,10.1,2.798,5,11.6,3.414,1,20.08
41,21,A,A,Spatial,1,Pool,9/1/2023,11:12,30.2,8.995,0.298,0.142,4,13.0,3.778,3,11.3,3.694,1,1.1,0.261,1,4.7,1.262,1,24.04
42,21,A,A,Spatial,2,Pool,9/1/2023,11:13,6.0,2.037,0.339,0.497,1,3.1,1.096,1,0.4,0.149,1,1.4,0.422,1,1.1,0.370,1,2.68
43,22,A,A,Spatial,1,Pool,9/1/2023,11:13,60.0,17.690,0.295,0.060,6,28.7,8.144,4,14.9,4.132,2,4.8,1.645,4,11.6,3.769,0,49.69
44,22,A,A,Spatial,2,Pool,9/1/2023,11:15,20.8,6.325,0.305,0.140,1,4.5,1.322,1,3.1,1.104,2,6.4,2.030,2,6.7,1.870,1,13.07
45,23,A,A,Spatial,1,Pool,9/1/2023,11:15,29.7,9.768,0.329,0.088,3,11.4,3.356,3,10.5,3.471,2,4.4,1.570,1,3.3,1.370,1,21.61
46,23,A,A,Spatial,2,Pool,9/1/2023,11:17,14.5,4.444,0.307,0.266,1,3.2,1.029,1,4.1,1.228,2,6.8,2.073,1,0.3,0.114,1,4.93
47,24,A,A,Spatial,1,Pool,9/1/2023,11:17,38.1,9.050,0.238,0.086,1,0.9,0.332,4,28.5,6.730,4,8.0,1.729,1,0.7,0.259,1,23.50
48,24,A,A,Spatial,2,Pool,9/1/2023,11:19,4.8,1.469,0.305,0.613,0,0.0,0.000,0,0.0,0.000,1,2.9,0.780,1,1.9,0.689,1,0.60
49,25,A,A,Spatial,1,Pool,9/1/2023,11:19,60.0,20.227,0.337,0.016,8,24.8,7.802,4,11.1,3.821,2,6.0,2.530,5,18.1,6.073,0,45.59
50,25,A,A,Spatial,2,Pool,9/1/2023,11:21,7.9,2.582,0.326,0.438,2,2.0,0.451,2,4.7,1.760,1,1.2,0.371,0,0.0,0.000,1,4.21
51,26,A,A,Spatial,1,Pool,9/1/2023,11:22,60.0,18.444,0.307,0.063,4,23.9,6.788,3,11.2,3.741,4,11.9,3.450,4,12.9,4.465,0,46.42
52,26,A,A,Spatial,2,Pool,9/1/2023,11:23,26.6,9.511,0.357,0.092,2,7.1,2.455,2,4.0,1.394,3,4.7,1.863,3,10.9,3.799,1,17.51
