Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
1,1,NSF,A,Spatial,1,Pool,5/22/2023,32.5,8.358,0.257,0.144,4,17.7,5.008,1,4.1,1.202,0,0.0,0.000,3,10.6,2.149,1,14.02
2,1,NSF,A,Spatial,2,Pool,5/22/2023,15.9,4.639,0.293,0.251,1,1.3,0.332,1,8.0,2.164,1,1.7,0.738,1,4.8,1.405,1,9.87
3,2,NSF,A,Spatial,1,Pool,5/22/2023,60.0,16.260,0.271,0.035,5,30.9,7.773,2,5.5,1.941,1,3.7,1.302,4,20.0,5.245,0,
4,2,NSF,A,Spatial,2,Pool,5/22/2023,23.8,6.331,0.266,0.166,1,9.1,1.728,3,12.2,4.113,2,2.6,0.491,0,0.0,0.000,1,12.15
5,3,NSF,A,Spatial,1,Pool,5/22/2023,60.0,17.824,0.297,0.027,7,18.7,5.425,3,7.6,2.938,2,8.0,2.583,5,25.7,6.878,0,
6,3,NSF,A,Spatial,2,Pool,5/22/2023,55.1,16.025,0.291,0.057,2,25.2,5.738,1,7.1,2.221,3,11.9,4.402,4,10.9,3.665,1,32.83
7,4,NSF,A,Spatial,1,Pool,5/22/2023,60.0,18.350,0.306,0.087,5,13.8,4.350,5,16.4,5.102,7,22.3,5.988,6,7.5,2.909,0,
8,4,NSF,A,Spatial,2,Pool,5/22/2023,60.0,14.883,0.248,0.110,4,23.9,6.136,2,9.6,2.785,1,5.5,0.639,2,21.0,5.322,0,
9,5,NSF,A,Spatial,1,Pool,5/22/2023,60.0,18.992,0.317,0.046,4,15.7,4.403,4,24.3,6.948,2,8.8,2.682,4,11.2,4.960,0,
10,5,NSF,A,Spatial,2,Pool,5/22/2023,60.0,14.187,0.236,0.108,5,15.8,4.597,6,29.0,5.770,3,8.4,1.580,2,6.8,2.240,0,
11,6,NSF,A,Spatial,1,Pool,5/22/2023,2.9,0.668,0.227,0.872,2,2.3,0.541,1,0.7,0.127,0,0.0,0.000,0,0.0,0.000,1,0.43
12,6,NSF,A,Spatial,2,Pool,5/22/2023,60.0,17.573,0.293,0.027,2,8.4,2.693,3,8.5,2.868,5,18.5,5.417,5,24.5,6.595,0,
13,7,NSF,A,Spatial,1,Pool,5/22/2023,60.0,17.245,0.287,0.088,4,14.8,4.378,4,19.8,6.288,4,16.3,4.074,3,9.1,2.504,0,
14,7,NSF,A,Spatial,2,Pool,5/22/2023,19.4,5.801,0.299,0.156,3,6.5,1.988,1,2.9,0.955,0,0.0,0.000,2,9.9,2.859,1,10.12
15,8,NSF,A,Spatial,1,Pool,5/22/2023,60.0,16.994,0.283,0.054,2,5.1,1.396,6,29.4,7.706,8,19.3,5.468,4,6.3,2.424,0,
16,8,NSF,A,Spatial,2,Pool,5/22/2023,60.0,13.050,0.218,0.059,2,9.9,2.448,6,15.4,3.305,7,26.3,5.890,2,8.5,1.407,0,
17,9,NSF,A,Spatial,1,Pool,5/22/2023,3.0,0.590,0.194,0.472,2,2.5,0.527,0,0.0,0.000,0,0.0,0.000,1,0.5,0.063,1,0.59
18,9,NSF,A,Spatial,2,Pool,5/22/2023,60.0,15.647,0.261,0.095,3,19.2,4.573,4,17.7,4.546,4,10.4,2.675,3,12.7,3.852,0,
19,10,NSF,A,Spatial,1,Pool,5/22/2023,19.0,4.933,0.259,0.184,2,1.9,0.786,1,4.3,0.819,1,6.4,1.129,2,6.4,2.200,1,14.44
20,10,NSF,A,Spatial,2,Pool,5/22/2023,21.5,7.272,0.339,0.166,2,4.5,1.769,2,4.1,1.341,2,9.1,2.633,2,3.7,1.529,1,15.75
21,11,NSF,A,Spatial,1,Pool,5/22/2023,60.0,17.762,0.296,0.084,4,17.5,5.413,4,13.9,3.962,4,17.0,4.585,3,11.6,3.801,0,
22,11,NSF,A,Spatial,2,Pool,5/22/2023,25.0,7.056,0.282,0.121,2,7.7,2.001,1,4.2,1.277,1,5.0,1.444,2,8.1,2.334,1,14.08
23,12,NSF,A,Spatial,1,Pool,5/22/2023,60.0,14.132,0.236,0.012,3,7.5,2.529,5,31.2,6.285,3,16.6,3.464,2,4.7,1.854,0,
24,12,NSF,A,Spatial,2,Pool,5/22/2023,60.0,13.189,0.220,0.061,2,12.9,2.529,3,14.0,3.522,5,29.5,5.889,3,3.6,1.250,0,
25,13,NSF,A,Spatial,1,Pool,5/22/2023,55.3,12.898,0.233,0.051,4,18.9,4.086,1,1.2,0.463,2,17.6,3.976,5,17.6,4.373,1,37.72
26,13,NSF,A,Spatial,2,Pool,5/22/2023,60.0,13.890,0.232,0.076,5,32.7,6.008,5,13.6,3.730,4,8.5,2.386,3,5.2,1.765,0,
27,14,NSF,A,Spatial,1,Pool,5/22/2023,60.0,21.116,0.352,0.065,3,10.5,4.108,5,14.6,5.341,6,23.5,6.916,5,11.4,4.751,0,
28,14,NSF,A,Spatial,2,Pool,5/22/2023,60.0,16.001,0.267,0.023,2,7.6,2.563,4,10.7,3.420,5,24.5,5.380,3,17.2,4.638,0,
